Season,Height,Tea,Continent,Handedness
Autumn (September - November),Short,Yes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Winter (December - February),Tall,Yes,North America,
Summer (June - August),Medium,Yes,North America,
Summer (June - August),Tall,Sometimes,North America,
Autumn (September - November),Tall,Sometimes,North America,
Autumn (September - November),Tall,Sometimes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Autumn (September - November),Medium,Yes,North America,
Autumn (September - November),Tall,Sometimes,North America,
Spring (March - May),Medium,Yes,South America,
Autumn (September - November),Medium,Yes,South America,
Summer (June - August),Medium,Yes,North America,
Summer (June - August),Medium,Yes,North America,
Summer (June - August),Medium,Sometimes,North America,
Winter (December - February),Medium,Sometimes,North America,
Winter (December - February),Short,Sometimes,North America,
Autumn (September - November),Tall,Yes,North America,
Spring (March - May),Medium,Sometimes,North America,
Spring (March - May),Medium,Yes,North America,
Spring (March - May),Tall,Never,North America,
Autumn (September - November),Medium,Yes,North America,
Winter (December - February),Short,Yes,North America,
Autumn (September - November),Tall,Never,North America,
Spring (March - May),Tall,Sometimes,North America,
Spring (March - May),Medium,Never,North America,
Winter (December - February),Short,Yes,North America,
Winter (December - February),Medium,Sometimes,North America,
Winter (December - February),Medium,Sometimes,North America,
Autumn (September - November),Tall,Yes,North America,
Spring (March - May),Medium,Yes,North America,
Winter (December - February),Medium,Yes,North America,
Summer (June - August),Tall,Yes,North America,
Autumn (September - November),Medium,Yes,North America,
Summer (June - August),Medium,Yes,North America,
Autumn (September - November),Tall,Yes,Europe,
Autumn (September - November),Medium,Never,North America,
Autumn (September - November),Tall,Yes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Summer (June - August),Medium,Sometimes,North America,
Winter (December - February),Short,Sometimes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Summer (June - August),Medium,Sometimes,Asia or Oceania,
Summer (June - August),Tall,Never,North America,
Autumn (September - November),Medium,Sometimes,North America,
Spring (March - May),Medium,Sometimes,North America,
Autumn (September - November),Tall,Sometimes,North America,
Winter (December - February),Short,Sometimes,North America,
Autumn (September - November),Tall,Sometimes,North America,
Winter (December - February),Short,Never,North America,
Autumn (September - November),Tall,Sometimes,North America,
Summer (June - August),Medium,Never,North America,
Winter (December - February),Medium,Yes,North America,
Spring (March - May),Tall,Sometimes,South America,
Winter (December - February),Tall,Sometimes,Asia or Oceania,
Spring (March - May),Medium,Yes,North America,
Winter (December - February),Tall,Never,North America,
Summer (June - August),Short,Sometimes,North America,
Winter (December - February),Short,Yes,North America,
Summer (June - August),Short,Yes,North America,
Winter (December - February),Short,Yes,North America,
Winter (December - February),Tall,Yes,North America,
Autumn (September - November),Tall,Yes,North America,
Summer (June - August),Medium,Yes,North America,
Spring (March - May),Medium,Yes,North America,
Winter (December - February),Short,Yes,North America,
Winter (December - February),Short,Yes,North America,
Summer (June - August),Tall,Yes,North America,
Winter (December - February),Short,Yes,North America,
Autumn (September - November),Short,Sometimes,North America,
Autumn (September - November),Medium,Yes,North America,
Spring (March - May),Tall,Never,North America,
Summer (June - August),Medium,Yes,North America,
Winter (December - February),Tall,Yes,Europe,
Spring (March - May),Medium,Never,North America,
Summer (June - August),Short,Sometimes,Asia or Oceania,
Winter (December - February),Medium,Sometimes,North America,
Winter (December - February),Short,Sometimes,North America,
Spring (March - May),Medium,Yes,North America,
Winter (December - February),Tall,Sometimes,Asia or Oceania,
Spring (March - May),Tall,Yes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Autumn (September - November),Tall,Yes,Europe,
Autumn (September - November),Medium,Yes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Spring (March - May),Medium,Yes,North America,
Winter (December - February),Short,Yes,North America,
Spring (March - May),Short,Yes,North America,
Autumn (September - November),Short,Sometimes,Asia or Oceania,
Summer (June - August),Medium,Sometimes,North America,
Summer (June - August),Medium,Never,North America,
Spring (March - May),Medium,Yes,North America,
Summer (June - August),Tall,Yes,Europe,
Autumn (September - November),Medium,Sometimes,North America,
Autumn (September - November),Short,Yes,North America,
Spring (March - May),Tall,Sometimes,North America,
Summer (June - August),Tall,Sometimes,North America,
Spring (March - May),Medium,Sometimes,North America,
Autumn (September - November),Tall,Yes,North America,
Spring (March - May),Tall,Sometimes,Europe,
Spring (March - May),Medium,Yes,North America,
Summer (June - August),Medium,Yes,Asia or Oceania,
Summer (June - August),Tall,Sometimes,Europe,
Summer (June - August),Medium,Sometimes,North America,
Summer (June - August),Medium,Never,North America,
Autumn (September - November),Medium,Yes,North America,
Spring (March - May),Tall,Yes,Europe,
Spring (March - May),Medium,Yes,North America,
Summer (June - August),Tall,Sometimes,North America,
Autumn (September - November),Short,Sometimes,North America,
Spring (March - May),Short,Sometimes,North America,
Spring (March - May),Medium,Yes,North America,
Summer (June - August),Short,Yes,North America,
Spring (March - May),Short,Yes,North America,
Autumn (September - November),Tall,Never,North America,
Autumn (September - November),Short,Sometimes,North America,
Winter (December - February),Medium,Yes,North America,
Spring (March - May),Tall,Yes,North America,
Spring (March - May),Medium,Yes,North America,
Winter (December - February),Medium,Sometimes,North America,
Autumn (September - November),Medium,Sometimes,Asia or Oceania,
Spring (March - May),Short,Yes,North America,
Spring (March - May),Short,Sometimes,North America,
Summer (June - August),Medium,Never,North America,
Autumn (September - November),Tall,Yes,North America,
Autumn (September - November),Tall,Sometimes,North America,
Autumn (September - November),Short,Yes,North America,
Autumn (September - November),Short,Sometimes,North America,
Spring (March - May),Short,Yes,North America,
Spring (March - May),Medium,Sometimes,Asia or Oceania,
Spring (March - May),Medium,Sometimes,North America,
Winter (December - February),Medium,Yes,North America,
Winter (December - February),Medium,Yes,North America,
Autumn (September - November),Short,Sometimes,North America,
Winter (December - February),Medium,Yes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Spring (March - May),Short,Sometimes,North America,
Autumn (September - November),Medium,Yes,North America,
Summer (June - August),Short,Sometimes,North America,
Autumn (September - November),Short,Yes,North America,
Summer (June - August),Medium,Sometimes,North America,
Summer (June - August),Medium,Sometimes,North America,
Summer (June - August),Tall,Sometimes,North America,
Spring (March - May),Medium,Sometimes,North America,
Autumn (September - November),Short,Sometimes,North America,
Summer (June - August),Medium,Sometimes,North America,
Autumn (September - November),Short,Yes,North America,
Autumn (September - November),Medium,Yes,North America,
Winter (December - February),Short,Sometimes,North America,
Spring (March - May),Medium,Sometimes,North America,
Spring (March - May),Short,Yes,North America,
Autumn (September - November),Medium,Yes,North America,
Spring (March - May),Tall,Yes,North America,
Summer (June - August),Short,Yes,North America,
Winter (December - February),Short,Yes,North America,
Spring (March - May),Short,Sometimes,North America,
Autumn (September - November),Tall,Never,North America,
Winter (December - February),Short,Sometimes,North America,
Spring (March - May),Short,Never,North America,
Spring (March - May),Medium,Yes,North America,
Autumn (September - November),Medium,Yes,Asia or Oceania,
Autumn (September - November),Tall,Yes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Summer (June - August),Medium,Yes,North America,
Spring (March - May),Tall,Yes,North America,
Winter (December - February),Medium,Sometimes,North America,
Autumn (September - November),Medium,Yes,North America,
Winter (December - February),Medium,Yes,North America,
Spring (March - May),Short,Yes,North America,
Summer (June - August),Tall,Sometimes,North America,
Spring (March - May),Medium,Sometimes,North America,
Winter (December - February),Short,Yes,North America,
Autumn (September - November),Tall,Sometimes,North America,
Spring (March - May),Medium,Sometimes,Asia or Oceania,
Autumn (September - November),Short,Sometimes,North America,
Winter (December - February),Tall,Yes,North America,
Spring (March - May),Tall,Never,North America,
Winter (December - February),Short,Yes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Spring (March - May),Medium,Sometimes,North America,
Autumn (September - November),Short,Sometimes,North America,
Spring (March - May),Medium,Sometimes,Asia or Oceania,
Autumn (September - November),Short,Yes,North America,
Spring (March - May),Medium,Sometimes,Asia or Oceania,
Autumn (September - November),Short,Sometimes,North America,
Summer (June - August),Short,Sometimes,North America,
Winter (December - February),Medium,Never,North America,
Summer (June - August),Short,Yes,Asia or Oceania,
Summer (June - August),Tall,Never,North America,
Spring (March - May),Tall,Sometimes,North America,
Winter (December - February),Short,Sometimes,North America,
Summer (June - August),Tall,Sometimes,North America,
Winter (December - February),Medium,Sometimes,Europe,
Autumn (September - November),Medium,Sometimes,Asia or Oceania,
Autumn (September - November),Tall,Yes,North America,
Winter (December - February),Medium,Sometimes,North America,
Spring (March - May),Tall,Yes,North America,
Summer (June - August),Tall,Yes,North America,
Spring (March - May),Tall,Yes,North America,
Winter (December - February),Tall,Yes,Asia or Oceania,
Autumn (September - November),Short,Sometimes,North America,
Spring (March - May),Short,Sometimes,North America,
Spring (March - May),Medium,Never,North America,
Winter (December - February),Short,Yes,North America,
Summer (June - August),Medium,Sometimes,Asia or Oceania,
Winter (December - February),Medium,Sometimes,North America,
Spring (March - May),Medium,Yes,North America,
Spring (March - May),Medium,Sometimes,North America,
Summer (June - August),Medium,Never,North America,
Winter (December - February),Short,Never,Asia or Oceania,
Spring (March - May),Medium,Yes,Asia or Oceania,
Summer (June - August),Medium,Never,North America,
Autumn (September - November),Medium,Yes,Asia or Oceania,
Autumn (September - November),Medium,Sometimes,Asia or Oceania,
Summer (June - August),Medium,Yes,Asia or Oceania,
Summer (June - August),Medium,Sometimes,North America,
Summer (June - August),Tall,Sometimes,North America,
Spring (March - May),Short,Sometimes,North America,
Winter (December - February),Medium,Sometimes,North America,
Summer (June - August),Medium,Yes,North America,
Autumn (September - November),Tall,Yes,North America,
Winter (December - February),Medium,Sometimes,North America,
Spring (March - May),Medium,Sometimes,North America,
Summer (June - August),Short,Yes,North America,
Summer (June - August),Tall,Sometimes,North America,
Spring (March - May),Short,Sometimes,North America,
Spring (March - May),Medium,Yes,Asia or Oceania,
Winter (December - February),Medium,Sometimes,North America,
Summer (June - August),Tall,Yes,North America,
Winter (December - February),Medium,Never,North America,
Spring (March - May),Short,Sometimes,North America,
Winter (December - February),Short,Yes,North America,
Summer (June - August),Tall,Yes,North America,
Spring (March - May),Medium,Yes,North America,
Autumn (September - November),Short,Yes,North America,
Autumn (September - November),Tall,Sometimes,North America,
Winter (December - February),Tall,Sometimes,North America,
Autumn (September - November),Short,Sometimes,North America,
Spring (March - May),Medium,Sometimes,North America,
Summer (June - August),Short,Never,North America,
Autumn (September - November),Tall,Sometimes,North America,
Winter (December - February),Medium,Sometimes,North America,
Spring (March - May),Medium,Never,North America,
Spring (March - May),Medium,Sometimes,Asia or Oceania,
Spring (March - May),Short,Yes,North America,
Autumn (September - November),Medium,Never,North America,
Winter (December - February),Medium,Never,North America,
Spring (March - May),Short,Yes,Asia or Oceania,
Spring (March - May),Medium,Yes,North America,
Spring (March - May),Medium,Yes,North America,
Autumn (September - November),Short,Yes,Asia or Oceania,
Spring (March - May),Medium,Sometimes,Asia or Oceania,
Summer (June - August),Medium,Yes,North America,
Autumn (September - November),Tall,Yes,North America,
Spring (March - May),Short,Never,North America,
Winter (December - February),Tall,Yes,North America,
Autumn (September - November),Short,Yes,North America,
Winter (December - February),Medium,Sometimes,North America,
Autumn (September - November),Tall,Yes,North America,
Summer (June - August),Tall,Yes,North America,
Spring (March - May),Short,Sometimes,North America,
Winter (December - February),Tall,Sometimes,North America,
Winter (December - February),Short,Yes,North America,
Spring (March - May),Short,Sometimes,North America,
Summer (June - August),Medium,Sometimes,North America,
Autumn (September - November),Medium,Sometimes,North America,
Winter (December - February),Medium,Yes,North America,
Spring (March - May),Tall,Sometimes,North America,
Winter (December - February),Short,Never,North America,
Spring (March - May),Medium,Sometimes,North America,
Spring (March - May),Medium,Yes,North America,
Summer (June - August),Medium,Sometimes,North America,
Summer (June - August),Medium,Sometimes,North America,
Summer (June - August),Medium,Sometimes,North America,
Winter (December - February),Tall,Yes,North America,
Summer (June - August),Tall,Sometimes,North America,
Summer (June - August),Medium,Yes,Asia or Oceania,
Summer (June - August),Tall,Sometimes,North America,
Spring (March - May),Medium,Yes,North America,
Spring (March - May),Short,Sometimes,North America,
Winter (December - February),Medium,Sometimes,North America,
Spring (March - May),Short,Yes,North America,
Winter (December - February),Medium,Sometimes,North America,
Summer (June - August),Tall,Yes,North America,
Winter (December - February),Tall,Never,North America,
Summer (June - August),Medium,Yes,North America,
Spring (March - May),Medium,Sometimes,North America,
Autumn (September - November),Medium,Yes,Asia or Oceania,
Spring (March - May),Short,Sometimes,North America,
Winter (December - February),Tall,Never,North America,
Spring (March - May),Medium,Sometimes,South America,
Summer (June - August),Short,Sometimes,North America,
Spring (March - May),Short,Sometimes,Asia or Oceania,
Spring (March - May),Tall,Never,North America,
Summer (June - August),Short,Never,North America,
Winter (December - February),Medium,Sometimes,North America,
Winter (December - February),Short,Sometimes,North America,
Spring (March - May),Tall,Yes,North America,
Summer (June - August),Medium,Sometimes,North America,
Winter (December - February),Medium,Yes,North America,
