SITENAME,Date,Plot,Plot_Size,Species,Shell_Height,Shell_Width,Wet_Weight,AFDW
Rabbit Key Basin,2000-03-23,2,1,Nassarius albus,11.7,7.5,0.261,NA
Rabbit Key Basin,2000-03-23,2,1,Astrea phoebia,10.1,26.6,2.321,112.3
Rabbit Key Basin,2000-03-23,6,1,Astrea phoebia,10.5,16.5,2.203,118.1
Rabbit Key Basin,2000-03-23,4,1,Ceritheum eburneum,15,5.6,0.179,NA
Rabbit Key Basin,2000-03-23,1,1,Cerithium eburneum,12.5,9.5,0.763,NA
Rabbit Key Basin,2000-03-23,3,1,Cerithium eburneum,26.7,10.2,1.133,NA
Rabbit Key Basin,2000-03-23,5,1,Columbella rusticoides,13.7,7.4,0.378,NA
Rabbit Key Basin,2000-03-23,5,1,Columbella rusticoides,13.9,7.8,0.425,NA
Rabbit Key Basin,2000-03-23,2,1,Modulus modulus,10.2,14.8,0.961,82
Rabbit Key Basin,2000-03-23,3,1,Modulus modulus,11.8,14.2,1.131,66.1
Rabbit Key Basin,2000-03-23,4,1,Modulus modulus,9.8,12.4,0.697,34.6
Rabbit Key Basin,2000-03-23,4,1,Modulus modulus,10.7,11.8,0.799,27.9
Rabbit Key Basin,2000-03-23,5,1,Modulus modulus,10,13.8,0.888,57.3
Rabbit Key Basin,2000-03-23,6,1,Modulus modulus,9.1,12.1,0.676,31.1
Rabbit Key Basin,2000-03-23,5,1,Prunum apicinum,12,7.1,0.405,NA
Rabbit Key Basin,2000-03-23,5,1,Prunum apicinum,11.9,7.9,0.425,NA
Rabbit Key Basin,2000-03-23,5,1,Prunum apicinum,10.5,6.7,0.276,NA
Rabbit Key Basin,2000-03-23,1,1,Tegula fasciata,11.9,15.6,1.539,134.3
Rabbit Key Basin,2000-03-23,1,1,Tegula fasciata,11.5,15.6,1.327,134.3
Rabbit Key Basin,2000-03-23,2,1,Tegula fasciata,12.7,15.6,1.687,134.3
Rabbit Key Basin,2000-03-23,2,1,Tegula fasciata,13.6,15.6,1.597,134.3
Rabbit Key Basin,2000-03-23,2,1,Tegula fasciata,12.1,15.9,1.578,147.3
Rabbit Key Basin,2000-03-23,3,1,Tegula fasciata,13.2,16.6,1.778,182.7
Rabbit Key Basin,2000-03-23,3,1,Tegula fasciata,16.3,12.2,1.9,47.1
Rabbit Key Basin,2000-03-23,4,1,Tegula fasciata,10.3,12.8,0.894,56.7
Rabbit Key Basin,2000-03-23,4,1,Tegula fasciata,12.4,16.3,1.737,166.6
Rabbit Key Basin,2000-03-23,4,1,Tegula fasciata,12,15.1,1.499,115.1
Rabbit Key Basin,2000-03-23,4,1,Tegula fasciata,12.2,15.4,1.534,126.3
Rabbit Key Basin,2000-03-23,4,1,Tegula fasciata,11.9,14.8,1.378,105
Rabbit Key Basin,2000-03-23,4,1,Tegula fasciata,11.9,16.1,1.784,156.7
Rabbit Key Basin,2000-03-23,4,1,Tegula fasciata,11.8,15.5,1.405,130.2
Rabbit Key Basin,2000-03-23,4,1,Tegula fasciata,13.1,16.3,1.838,166.6
Rabbit Key Basin,2000-03-23,5,1,Tegula fasciata,12.1,15.6,1.485,134.3
Rabbit Key Basin,2000-03-23,5,1,Tegula fasciata,11.8,14.9,1.486,108.3
Rabbit Key Basin,2000-03-23,5,1,Tegula fasciata,16,13.7,1.735,74.8
Rabbit Key Basin,2000-03-23,5,1,Tegula fasciata,12.2,15.4,1.494,126.3
Rabbit Key Basin,2000-03-23,5,1,Tegula fasciata,12,15.4,1.71,126.3
Rabbit Key Basin,2000-03-23,5,1,Tegula fasciata,12.6,14.9,1.557,108.3
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,12.2,15.5,1.523,130.2
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,13.3,16.1,1.949,156.7
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,10.7,14.6,1.269,98.7
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,13.1,15.9,1.685,147.3
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,12.6,15.6,1.551,134.3
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,12.6,14.2,1.387,87.3
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,13.4,16.2,1.681,161.6
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,11.5,14.7,1.382,101.8
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,11.8,15.3,1.322,122.5
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,11.7,14.5,1.399,95.7
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,13.5,16,1.82,151.9
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,12.3,15.9,1.638,147.3
Rabbit Key Basin,2000-03-23,6,1,Tegula fasciata,12,13.6,1.164,72.5
