year,section,species,length_1_mm,weight_g
1987,CC,Cutthroat trout,58,1.75
1987,CC,Cutthroat trout,61,1.95
1987,CC,Cutthroat trout,89,5.6
1987,CC,Cutthroat trout,58,2.15
1987,CC,Cutthroat trout,93,6.9
1987,CC,Cutthroat trout,86,5.9
1987,CC,Cutthroat trout,107,10.5
1987,CC,Cutthroat trout,131,20.6
1987,CC,Cutthroat trout,103,9.55
1987,CC,Cutthroat trout,117,13
1987,CC,Cutthroat trout,100,8.25
1987,CC,Cutthroat trout,127,17.7
1987,CC,Cutthroat trout,99,8.15
1987,CC,Cutthroat trout,111,11.25
1987,CC,Cutthroat trout,149,27.15
1987,CC,Cutthroat trout,102,9.25
1987,CC,Cutthroat trout,53,1.45
1987,CC,Cutthroat trout,58,2.1
1987,CC,Cutthroat trout,58,2.05
1987,CC,Cutthroat trout,105,10.85
1987,CC,Cutthroat trout,145,22.9
1987,CC,Cutthroat trout,97,7.3
1987,CC,Cutthroat trout,118,12
1987,CC,Cutthroat trout,110,11.1
1987,CC,Cutthroat trout,133,19.1
1987,CC,Cutthroat trout,99,7.75
1987,CC,Cutthroat trout,93,7.05
1987,CC,Cutthroat trout,155,30.85
1987,CC,Cutthroat trout,131,17.65
1987,CC,Cutthroat trout,120,13.45
1987,CC,Cutthroat trout,94,6.65
1987,CC,Cutthroat trout,97,7.6
1987,CC,Cutthroat trout,98,7.65
1987,CC,Cutthroat trout,122,14.2
1987,CC,Cutthroat trout,135,19.7
1987,CC,Cutthroat trout,186,49.15
1987,CC,Cutthroat trout,121,16.15
1987,CC,Cutthroat trout,59,2.25
1987,CC,Cutthroat trout,91,6.9
1987,CC,Cutthroat trout,103,9.1
1987,CC,Cutthroat trout,107,9.3
1987,CC,Cutthroat trout,129,17.5
1987,CC,Cutthroat trout,92,6.1
1987,CC,Cutthroat trout,93,8.15
1987,CC,Cutthroat trout,154,29.5
1987,CC,Cutthroat trout,121,13.95
1987,CC,Cutthroat trout,63,2.35
1987,CC,Cutthroat trout,116,12.25
1987,CC,Cutthroat trout,59,2.35
1987,CC,Cutthroat trout,48,1.3
1987,CC,Cutthroat trout,111,10.55
1987,CC,Cutthroat trout,63,2.05
1987,CC,Cutthroat trout,96,7
1987,CC,Cutthroat trout,62,2.3
1987,CC,Cutthroat trout,57,2.1
1987,CC,Cutthroat trout,57,1.85
1987,CC,Cutthroat trout,56,2.1
1987,CC,Cutthroat trout,64,2.45
1987,CC,Cutthroat trout,58,1.95
1987,CC,Cutthroat trout,70,3.1
1987,CC,Cutthroat trout,68,2.8
1987,CC,Cutthroat trout,83,5.7
1987,CC,Cutthroat trout,55,1.4
1987,CC,Cutthroat trout,61,2.6
1987,CC,Cutthroat trout,142,21.3
1987,CC,Cutthroat trout,121,14.9
1987,CC,Cutthroat trout,100,7.35
1987,CC,Cutthroat trout,96,7.35
1987,CC,Cutthroat trout,158,30.6
1987,CC,Cutthroat trout,96,7.05
1987,CC,Cutthroat trout,60,2.1
1987,CC,Cutthroat trout,55,1.75
1987,CC,Cutthroat trout,66,2.95
1987,CC,Cutthroat trout,116,12.5
1987,CC,Cutthroat trout,134,19.5
1987,CC,Cutthroat trout,63,2.6
1987,CC,Cutthroat trout,101,9.55
1987,CC,Cutthroat trout,58,2
1987,CC,Cutthroat trout,52,1.25
1987,CC,Cutthroat trout,28,6.3
1987,CC,Cutthroat trout,65,2.35
1987,CC,Cutthroat trout,61,1.9
1987,CC,Cutthroat trout,62,2.15
1987,CC,Cutthroat trout,135,19.4
1987,CC,Cutthroat trout,61,2.3
1987,CC,Cutthroat trout,106,10.75
1987,CC,Cutthroat trout,88,5.2
1987,CC,Cutthroat trout,103,9.6
1987,CC,Cutthroat trout,107,9.5
1987,CC,Cutthroat trout,53,1.65
