id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
238875,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON0101Z,NEON0101Z,"NEON sampleCode (barcode): A00000329587; NEON sampleID: CFC.TOOL044.CLIP-1.20170721.AR; NEON sampleID Hash: qEiBKdJclf9O9QxrtCWSWnAZh/Rfp0UVW7drH82rmm8=; NEON sampleUUID: 86b1dd82-2f39-471a-8c7c-3b1a0ab1ded4",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Matthew Schumaker",,2017-07-21,2017,7,21,202,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","sedgeHerbaceous; slope aspect: 268; slope gradient: 12.19",,,,,,,,,,,,,,"sample mass: 1.124",TOOL_044.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_044 (plot dimensions: 40m x 40m)",,68.658157,-149.362189,WGS84,20,"6N 404080.66387E 7618087.89802N",,,"Geo 7X (H-Star)",,,820,825,,,,,,,,"2023-07-09 11:07:46",http://creativecommons.org/publicdomain/zero/1.0/,,,77575e09-6188-4569-9d0e-2035a00ae8b1,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238875
238876,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON01020,NEON01020,"NEON sampleCode (barcode): A00000329586; NEON sampleID: CFC.TOOL043.CLIP-1.20170720.AR; NEON sampleID Hash: qEiBKdJclf+43qa99xh4YWl+sReIsXt+wTedli+ThwM=; NEON sampleUUID: cc01ceca-47ee-425b-9893-26228db51f90",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Renee Babiarz",,2017-07-20,2017,7,20,201,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","sedgeHerbaceous; slope aspect: 81.4; slope gradient: 1.55",,,,,,,,,,,,,,"sample mass: 0.482",TOOL_043.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_043 (plot dimensions: 40m x 40m)",,68.665514,-149.375519,WGS84,20,"6N 403571.28877E 7618928.53268N",,,"Geo 7X (H-Star)",,,821,823,,,,,,,,"2023-07-09 11:07:46",http://creativecommons.org/publicdomain/zero/1.0/,,,d11473f8-9ef4-4012-918f-c43ecb003eba,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238876
238877,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON01021,NEON01021,"NEON sampleCode (barcode): A00000329585; NEON sampleID: CFC.TOOL042.CLIP-1.20170721.AR; NEON sampleID Hash: qEiBKdJclf/N8NkyLma/b3gLGFFQ/mhfKQEaI0eMfL0=; NEON sampleUUID: 9c5f21be-9403-4dd2-91fa-e2c42231d8f6",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Matthew Schumaker",,2017-07-21,2017,7,21,202,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","sedgeHerbaceous; slope aspect: 65; slope gradient: 2.63",,,,,,,,,,,,,,"sample mass: 0.524",TOOL_042.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_042 (plot dimensions: 40m x 40m)",,68.664072,-149.381292,WGS84,20,"6N 403330.82224E 7618776.9142N",,,"Geo 7X (H-Star)",,,803,807,,,,,,,,"2023-07-09 11:07:46",http://creativecommons.org/publicdomain/zero/1.0/,,,ff40f18e-290e-4a70-9a3e-488598aa767b,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238877
238878,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON01022,NEON01022,"NEON sampleCode (barcode): A00000329584; NEON sampleID: CFC.TOOL041.CLIP-1.20170720.AR; NEON sampleID Hash: qEiBKdJclf/Qzzrb+epfBaa/wpAkxvwVfyPD/lqNULA=; NEON sampleUUID: 4524dca9-3ea8-4f22-99f5-e3ae9b0d1746",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Renee Babiarz",,2017-07-20,2017,7,20,201,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","sedgeHerbaceous; slope aspect: 110; slope gradient: 1.26",,,,,,,,,,,,,,"sample mass: 1.09",TOOL_041.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_041 (plot dimensions: 40m x 40m)",,68.666666,-149.369752,WGS84,20,"6N 403810.23681E 7619047.86885N",,,"Geo 7X",,,827,828,,,,,,,,"2023-07-09 11:07:46",http://creativecommons.org/publicdomain/zero/1.0/,,,04420fc7-4983-4b91-b02c-b43526819045,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238878
238879,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON01023,NEON01023,"NEON sampleCode (barcode): A00000329583; NEON sampleID: CFC.TOOL017.CLIP-1.20170719.AR; NEON sampleID Hash: qEiBKdJclf8TB3rUZU0kB/McL/P7lY8moOde5HY1ECM=; NEON sampleUUID: 790da581-a1f5-4eb3-9196-7ec2712fe25a",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Matthew Schumaker",,2017-07-19,2017,7,19,200,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","dwarfScrub; slope aspect: 135; slope gradient: 1.95",,,,,,,,,,,,,,"sample mass: 0.868",TOOL_017.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_017 (plot dimensions: 40m x 40m)",,68.60512,-149.492276,WGS84,20,"6N 398561.18691E 7612386.86367N",,,"Geo 7X (H-Star)",,,979,983,,,,,,,,"2023-07-14 13:19:31",http://creativecommons.org/publicdomain/zero/1.0/,,,66bb69c7-e2e7-410b-9834-9549f346b625,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238879
238880,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON01024,NEON01024,"NEON sampleCode (barcode): A00000329582; NEON sampleID: CFC.TOOL016.CLIP-1.20170718.AR; NEON sampleID Hash: qEiBKdJclf/qUXnIi09tl92vPpcsZh9ZNICSCvb9R/4=; NEON sampleUUID: 8feef974-7f78-4c79-92c8-174c37797d6d",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Matthew Schumaker",,2017-07-18,2017,7,18,199,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","dwarfScrub; slope aspect: 175.2; slope gradient: 2.18",,,,,,,,,,,,,,"sample mass: 0.594",TOOL_016.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_016 (plot dimensions: 40m x 40m)",,68.619334,-149.637775,WGS84,20,"6N 392710.11248E 7614217.37031N",,,"Geo 7X (H-Star)",,,773,776,,,,,,,,"2023-07-09 11:07:46",http://creativecommons.org/publicdomain/zero/1.0/,,,19f59775-8391-43bd-8584-412216811ac2,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238880
238881,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON01025,NEON01025,"NEON sampleCode (barcode): A00000329581; NEON sampleID: CFC.TOOL014.CLIP-1.20170720.AR; NEON sampleID Hash: qEiBKdJclf/YTFGQgd1EGchBNa+roNvT8uB+AGvergY=; NEON sampleUUID: 4f19d44b-fbb7-4cc0-bb69-a5948034a3a1",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Matthew Schumaker",,2017-07-20,2017,7,20,201,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","dwarfScrub; slope aspect: 84.5; slope gradient: 3.03",,,,,,,,,,,,,,"sample mass: 0.524",TOOL_014.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_014 (plot dimensions: 40m x 40m)",,68.621266,-149.545738,WGS84,20,"6N 396460.73117E 7614274.91692N",,,"Geo 7X (H-Star)",,,800,803,,,,,,,,"2023-07-09 11:07:46",http://creativecommons.org/publicdomain/zero/1.0/,,,e2ecb5cf-bbfe-40b1-b226-78131baeb0cd,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238881
238882,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON01026,NEON01026,"NEON sampleCode (barcode): A00000329575; NEON sampleID: CFC.TOOL013.CLIP-1.20170719.AR; NEON sampleID Hash: qEiBKdJclf8wwTlGiZ1D7IDXKlLzhOfh1fu6bQWifMM=; NEON sampleUUID: 05e263e1-7e49-48cf-a816-d9f7e09ef6c6",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Renee Babiarz",,2017-07-19,2017,7,19,200,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","dwarfScrub; slope aspect: 45; slope gradient: 3.15",,,,,,,,,,,,,,"sample mass: 0.94",TOOL_013.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_013 (plot dimensions: 40m x 40m)",,68.61519,-149.334812,WGS84,20,"6N 405010.08078E 7613257.56485N",,,"Geo 7X (H-Star)",,,864,870,,,,,,,,"2023-07-09 11:07:46",http://creativecommons.org/publicdomain/zero/1.0/,,,65fc1f09-4b9e-402a-bcb4-92db76abd725,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238882
238883,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON01027,NEON01027,"NEON sampleCode (barcode): A00000329574; NEON sampleID: CFC.TOOL012.CLIP-1.20170719.AR; NEON sampleID Hash: qEiBKdJclf+pOMJALhbbHVboqZWo6JKid9UKYy7pzCs=; NEON sampleUUID: 5ec1a8f4-737a-47dc-8f87-b463b0e93710",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Matthew Schumaker",,2017-07-19,2017,7,19,200,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","dwarfScrub; slope aspect: 45; slope gradient: 1.37",,,,,,,,,,,,,,"sample mass: 0.606",TOOL_012.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_012 (plot dimensions: 40m x 40m)",,68.576305,-149.564239,WGS84,20,"6N 395499.75832E 7609296.7373N",,,"Geo 7X (H-Star)",,,795,797,,,,,,,,"2023-07-09 11:07:46",http://creativecommons.org/publicdomain/zero/1.0/,,,09fa7d3e-3755-42dc-a9b8-ba0218bbead7,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238883
238884,NEON,TPLC-CF,ASU,671f9183-1357-485f-a42d-3df32d58f2b1,PreservedSpecimen,NEON01028,NEON01028,"NEON sampleCode (barcode): A00000329573; NEON sampleID: CFC.TOOL011.CLIP-1.20170718.AR; NEON sampleID Hash: qEiBKdJclf+nR681TpDMXxYIHMlcgulAi+LDcLN6kw0=; NEON sampleUUID: 2a869d52-dd25-41ab-833a-a90f2ea3d87c",Organism|Plantae,Plantae,,,,,"Bulk Canopy Foliage",126850,,,,,,,,,,,,,,,"Matthew Schumaker",,2017-07-18,2017,7,18,199,,,"Collection times are approximated from work start and stop times and the order of sampling.; sample type: Herbaceous clip strip; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.","sedgeHerbaceous; slope aspect: 218.1; slope gradient: 1.15",,,,,,,,,,,,,,"sample mass: 0.397",TOOL_011.basePlot.cfc,,,,,"United States",Alaska,"North Slope Borough",,"Tundra (D18), Toolik Field Station NEON (TOOL), Plot TOOL_011 (plot dimensions: 40m x 40m)",,68.625975,-149.591302,WGS84,20,"6N 394630.60101E 7614876.94653N",,,"Geo 7X (H-Star)",,,719,720,,,,,,,,"2023-07-09 11:07:46",http://creativecommons.org/publicdomain/zero/1.0/,,,ec603f61-56f4-4a48-a657-7f92d0e69555,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=238884
