CommonName,ScientificName,Authorship,ITIS_TSN,NY_Concern,Location,Sample_Date,ChorusCode,ChorusCount,Live_n,Dead_n,AmplectantPairs_N,EggMass_n,Juv_n,Sperm_n,TadLarv_n
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Oakwood,1931-04-21,NA,NA,3,NA,NA,NA,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,LongWoodlandPool,1932-04-06,4,NA,1,NA,NA,NA,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,Oakwood,1938-03-22,1,1,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1953-04-02,NA,NA,NA,NA,NA,2,NA,NA,NA
Northern Spring Peeper,Pseudacris crucifer crucifer,Wied-Neuwied 1838,207304,0,LongWoodlandPool,1953-04-04,2,2,2,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1953-04-04,NA,NA,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1953-04-08,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1954-04-10,NA,NA,3,NA,NA,1,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1955-03-31,NA,NA,0,NA,NA,NA,NA,NA,NA
Wood Frog,Lithobates sylvaticus,LeConte 1825,775117,0,Terrace,1955-04-05,0,NA,1,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1955-04-14,NA,NA,18,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1955-04-15,NA,NA,0,NA,NA,NA,NA,NA,NA
Spotted Salamander,Ambystoma maculatum,Shaw 1802,173590,0,LongWoodlandPool,1955-04-16,NA,NA,8,NA,NA,1,NA,NA,NA
