Location,Sample_Date,Sky_Code,Wind_Code,PDP,Air_Temp_C,Water_Temp_C,pH,Water_Depth,Water_Level,Visibility_Imp,Surface_Ice,Surface_Veg,SurfaceVeg_Spp,Odor,Shrimp,Snails,Turbidity_NTU,Chloride,Conductivity,DO,Nitrate
Oakwood,1931-04-21,NA,NA,0,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1932-04-06,NA,NA,0,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oakwood,1938-03-22,NA,NA,0,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1953-04-02,NA,NA,1,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1953-04-04,NA,NA,0,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1953-04-08,NA,NA,1,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1954-04-10,NA,NA,0,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1955-03-31,NA,NA,0,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terrace,1955-04-05,NA,NA,1,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1955-04-14,5,NA,1,12.8,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1955-04-15,NA,NA,1,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1955-04-16,NA,NA,1,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1955-04-18,NA,NA,1,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1955-04-19,NA,NA,0,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1955-04-20,NA,NA,1,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1956-03-31,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1956-04-14,NA,NA,0,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1956-05-03,NA,NA,0,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1956-05-10,NA,NA,0,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1957-03-30,NA,NA,0,2.8,-3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1957-03-31,NA,NA,0,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1957-04-02,5,NA,1,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1957-04-02,5,NA,1,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1957-04-03,NA,NA,1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1957-04-15,NA,NA,0,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1957-04-19,NA,NA,0,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1958-04-05,NA,NA,0,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1958-04-06,NA,NA,0,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1958-04-09,NA,NA,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1958-04-09,NA,NA,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1958-04-13,NA,NA,1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1958-04-13,NA,NA,1,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1958-04-19,NA,NA,0,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LongWoodlandPool,1958-04-22,NA,NA,0,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1959-03-20,0,NA,0,11.4,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1959-04-01,NA,NA,0,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonticou,1959-04-02,4,NA,0,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
