GSM8333927 GSM8333928 GSM8333929 GSM8333930 GSM8333931 GSM8333932 GSM8333933 GSM8333934 GSM8333935 GSM8333936 GSM8333937 GSM8333938
18.634104 18.628323 18.637507 18.570181 18.640163 18.639752 18.649971 18.648516 18.650050 18.650853 18.644122 18.649043
 4.983792  5.011506  5.112294  4.933306  5.031140  4.998812  5.068140  5.092648  4.989034  4.996885  4.995407  5.091118
 5.372775  5.061525  5.084347  4.959414  5.210981  5.180622  5.279564  5.328593  5.270677  5.301122  5.170085  5.315786
 7.523682  6.762362  6.992320  6.350749  6.813379  6.672859  7.099603  6.728150  7.103065  7.002057  6.967580  7.348009
10.088929  9.026392  9.456773  8.513138  9.442679  9.344916  9.731672  9.450293  9.944027  9.862175  9.790129 10.270423
11.352434 10.508497 10.848912  9.928076 10.979008 10.931227 11.299951 11.112137 11.599668 11.565920 11.515082 11.864837
12.616480 11.586198 12.022932 10.944663 12.105625 11.986767 12.479953 12.199352 12.597425 12.453790 12.418008 12.760219
15.085625 14.166763 14.551579 13.569255 14.360899 14.357940 14.666144 14.462344 14.979460 14.932617 14.926458 15.256938
17.128835 16.208965 16.478081 15.478956 16.370496 16.320655 16.691353 16.434186 16.968502 16.864445 16.800552 17.079720
16.483903 16.457722 16.835186 16.227542 17.334316 17.297412 17.527755 17.403307 17.696225 17.630535 17.657902 17.792149
 4.740581  4.689928  4.733932  4.763494  4.700326  4.697771  4.681681  4.721810  4.757250  4.756370  4.710355  4.739577
 8.466124  8.597864  7.790018  7.707728  8.192762  8.066377  7.728709  7.596433  8.984927  8.979876  8.814754  8.922186
 4.688326  5.021965  4.982580  4.828205  5.164542  4.940132  4.955713  5.029347  4.709158  4.928335  5.142588  4.838747
 9.915368 10.174862 10.094396 10.174654 10.282451 10.358664 10.411192 10.473147 10.016389 10.034586  9.950725 10.096429
10.931718 10.878600 10.999165 11.049967 10.521500 10.629519 10.776066 10.706667 10.820830 10.859450 10.779738 10.840668
10.909174 10.691677 10.890287 10.641646 10.747642 10.768882 10.589435 10.462639 10.447603 10.461279 10.490525 10.548148
10.586874 10.578604 10.590437 10.561719 10.695133 10.786151 10.516235 10.340413 11.042065 11.080547 10.914652 11.061448
 5.696548  5.987028  5.707042  5.809917  5.667456  5.773170  5.912593  5.852247  5.499518  5.646567  5.722200  5.568006
11.954261 12.009197 11.825374 11.951398 11.933601 11.942244 11.766971 11.868321 11.403610 11.428388 11.385114 11.306375
12.032215 11.887653 11.965253 11.957247 12.007685 11.881367 12.138037 12.053659 11.622851 11.597836 11.643102 11.560793
11.878253 11.763635 11.879417 11.812915 12.088852 12.102035 12.070937 12.008010 11.961747 11.945383 11.922411 12.060100
 5.315576  5.584690  5.281980  5.507507  5.619343  5.607062  5.594676  5.712851  5.036691  5.281980  5.142588  5.377619
 6.855445  6.844882  6.777469  6.838515  6.360956  6.322007  6.611425  6.605624  6.620969  6.551709  6.445126  6.419543
13.684375 13.600624 13.736113 13.677347 13.809489 13.858757 13.809148 13.697082 13.800379 13.691428 13.692573 13.839588
13.013750 13.112608 12.852544 12.609427 12.948746 13.183608 13.047477 13.056897 13.407953 13.357660 13.421275 13.496457
12.870997 12.792272 12.901698 12.776345 12.611878 12.641457 12.441958 12.601759 12.565556 12.688977 12.848316 12.773979
11.640866 11.735781 11.526534 11.745871 11.406619 11.336804 11.217847 11.282933 11.112276 10.979931 10.934981 10.604184
12.164118 12.390368 11.968746 12.198212 12.151423 12.234827 11.985616 12.231393 11.823728 12.113278 11.931419 11.686916
 5.098782  5.115162  5.064124  5.190028  5.349826  5.306402  5.408593  5.240687  5.295774  5.255656  5.268857  5.158303
