pi_name,station,depth_m,analysis,sample_name,instrument,temp_c,odo_perc_sat,odo_mg_l,cond_µs_cm,tds_mg_l,chl_µg_l,notes
Chaffin,South_Bass_Island,0.34,CTD_profile,Chaffin_South_Bass_Island_0.34_CTD_profile,YSI_EXO2,7.2,94,11.34,NA,NA,NA,
Chaffin,South_Bass_Island,0.51,CTD_profile,Chaffin_South_Bass_Island_0.51_CTD_profile,YSI_EXO2,7.11,95.3,11.53,NA,NA,NA,
Chaffin,South_Bass_Island,1.08,CTD_profile,Chaffin_South_Bass_Island_1.08_CTD_profile,YSI_EXO2,7.12,96.1,11.62,NA,NA,NA,
Chaffin,South_Bass_Island,1.57,CTD_profile,Chaffin_South_Bass_Island_1.57_CTD_profile,YSI_EXO2,7.16,95.6,11.54,NA,NA,NA,
Chaffin,South_Bass_Island,2.03,CTD_profile,Chaffin_South_Bass_Island_2.03_CTD_profile,YSI_EXO2,7.16,95.6,11.54,NA,NA,NA,
Chaffin,South_Bass_Island,2.59,CTD_profile,Chaffin_South_Bass_Island_2.59_CTD_profile,YSI_EXO2,7.17,95.5,11.53,NA,NA,NA,
Chaffin,South_Bass_Island,3,CTD_profile,Chaffin_South_Bass_Island_3_CTD_profile,YSI_EXO2,7.17,95.5,11.53,NA,NA,NA,
Chaffin,South_Bass_Island,3.51,CTD_profile,Chaffin_South_Bass_Island_3.51_CTD_profile,YSI_EXO2,7.16,95.4,11.52,NA,NA,NA,
Chaffin,South_Bass_Island,4.01,CTD_profile,Chaffin_South_Bass_Island_4.01_CTD_profile,YSI_EXO2,7.15,95.3,11.51,NA,NA,NA,
Chaffin,South_Bass_Island,4.57,CTD_profile,Chaffin_South_Bass_Island_4.57_CTD_profile,YSI_EXO2,7.15,95,11.47,NA,NA,NA,
Chaffin,South_Bass_Island,5.05,CTD_profile,Chaffin_South_Bass_Island_5.05_CTD_profile,YSI_EXO2,7.15,94.9,11.47,NA,NA,NA,
