pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Bullerjahn/McKay,Sandusky_Bay,0.5,BA,A,Bullerjahn/McKay_Sandusky_Bay_0.5_BA_A,0.588245111,,
Bullerjahn/McKay,Sandusky_Bay,0.5,C1,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C1_A,1.068723044,Fmax,
Bullerjahn/McKay,Sandusky_Bay,0.5,C1,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C1_A,25.21830869,%,
Bullerjahn/McKay,Sandusky_Bay,0.5,C2,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C2_A,1.401826932,Fmax,
Bullerjahn/McKay,Sandusky_Bay,0.5,C2,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C2_A,33.07845238,%,
Bullerjahn/McKay,Sandusky_Bay,0.5,C3,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C3_A,0.536136401,Fmax,
Bullerjahn/McKay,Sandusky_Bay,0.5,C3,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C3_A,12.65103559,%,
Bullerjahn/McKay,Sandusky_Bay,0.5,C4,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C4_A,0.297598922,Fmax,
Bullerjahn/McKay,Sandusky_Bay,0.5,C4,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C4_A,7.022344591,%,
Bullerjahn/McKay,Sandusky_Bay,0.5,C5,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C5_A,0.519443901,Fmax,
Bullerjahn/McKay,Sandusky_Bay,0.5,C5,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C5_A,12.25714812,%,
Bullerjahn/McKay,Sandusky_Bay,0.5,C6,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C6_A,0.149387162,Fmax,
Bullerjahn/McKay,Sandusky_Bay,0.5,C6,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C6_A,3.525040084,%,
Bullerjahn/McKay,Sandusky_Bay,0.5,C7,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C7_A,0.264769124,Fmax,
Bullerjahn/McKay,Sandusky_Bay,0.5,C7,A,Bullerjahn/McKay_Sandusky_Bay_0.5_C7_A,6.247670557,%,
