pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_mg.l,notes
Ozersky,Apostles,0.4,NH4,A,Ozersky_Apostles_0.4_NH4_A,0.003,mg.L,0.004,
Ozersky,Apostles,0.4,NH4,B,Ozersky_Apostles_0.4_NH4_B,0.007,mg.L,0.004,
Ozersky,Apostles,31,NH4,A,Ozersky_Apostles_31_NH4_A,0.004,mg.L,0.004,
Ozersky,Apostles,31,NH4,B,Ozersky_Apostles_31_NH4_B,0.005,mg.L,0.004,
McGregor/Twiss,BI_Birch_Island,0,NH4,A,McGregor/Twiss_BI_Birch_Island_0_NH4_A,0.017,mg.L,0.004,
McGregor/Twiss,BI_Birch_Island,0,NH4,B,McGregor/Twiss_BI_Birch_Island_0_NH4_B,0.025,mg.L,0.004,
Pearce/Xenopolous,BQ1,0,NH4,A,Pearce/Xenopolous_BQ1_0_NH4_A,0.046,mg.L,0.004,
Pearce/Xenopolous,BQ1,0,NH4,B,Pearce/Xenopolous_BQ1_0_NH4_B,0.048,mg.L,0.004,
Pearce/Xenopolous,BQ1,9,NH4,A,Pearce/Xenopolous_BQ1_9_NH4_A,0.049,mg.L,0.004,
Pearce/Xenopolous,BQ1,9,NH4,B,Pearce/Xenopolous_BQ1_9_NH4_B,0.053,mg.L,0.004,
Currie,Bronte_Pier,0,NH4,A,Currie_Bronte_Pier_0_NH4_A,0.051,mg.L,0.004,
Currie,Bronte_Pier,0,NH4,B,Currie_Bronte_Pier_0_NH4_B,0.048,mg.L,0.004,
Currie,CCIW_Hamilton_Harbour,1,NH4,A,Currie_CCIW_Hamilton_Harbour_1_NH4_A,0.079,mg.L,0.004,
Currie,CCIW_Hamilton_Harbour,1,NH4,B,Currie_CCIW_Hamilton_Harbour_1_NH4_B,0.079,mg.L,0.004,
Currie,CCIW_Hamilton_Harbour,6,NH4,A,Currie_CCIW_Hamilton_Harbour_6_NH4_A,0.058,mg.L,0.004,
Currie,CCIW_Hamilton_Harbour,6,NH4,B,Currie_CCIW_Hamilton_Harbour_6_NH4_B,0.046,mg.L,0.004,
McKay,EC_1,0.5,NH4,A,McKay_EC_1_0.5_NH4_A,0.008,mg.L,0.004,
McKay,EC_1,0.5,NH4,B,McKay_EC_1_0.5_NH4_B,0.007,mg.L,0.004,
McKay,EC_1,9,NH4,A,McKay_EC_1_9_NH4_A,0,mg.L,0.004,
McKay,EC_1,9,NH4,B,McKay_EC_1_9_NH4_B,0,mg.L,0.004,
McKay,EC_12,0.5,NH4,A,McKay_EC_12_0.5_NH4_A,0,mg.L,0.004,
McKay,EC_12,0.5,NH4,B,McKay_EC_12_0.5_NH4_B,0,mg.L,0.004,
