pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_mg.l,notes
Ozersky,Apostles,0.4,NO2,A,Ozersky_Apostles_0.4_NO2_A,0.0001,mg.L,0.003,
Ozersky,Apostles,0.4,NO2,B,Ozersky_Apostles_0.4_NO2_B,0.0003,mg.L,0.003,
Ozersky,Apostles,31,NO2,A,Ozersky_Apostles_31_NO2_A,0.0002,mg.L,0.003,
Ozersky,Apostles,31,NO2,B,Ozersky_Apostles_31_NO2_B,0.0004,mg.L,0.003,
McGregor/Twiss,BI_Birch_Island,0,NO2,A,McGregor/Twiss_BI_Birch_Island_0_NO2_A,0.0041,mg.L,0.003,
McGregor/Twiss,BI_Birch_Island,0,NO2,B,McGregor/Twiss_BI_Birch_Island_0_NO2_B,0.0039,mg.L,0.003,
Pearce/Xenopolous,BQ1,0,NO2,A,Pearce/Xenopolous_BQ1_0_NO2_A,0.0033,mg.L,0.003,
Pearce/Xenopolous,BQ1,0,NO2,B,Pearce/Xenopolous_BQ1_0_NO2_B,0.0035,mg.L,0.003,
Pearce/Xenopolous,BQ1,9,NO2,A,Pearce/Xenopolous_BQ1_9_NO2_A,0.003,mg.L,0.003,
Pearce/Xenopolous,BQ1,9,NO2,B,Pearce/Xenopolous_BQ1_9_NO2_B,0.0032,mg.L,0.003,
Currie,Bronte_Pier,0,NO2,A,Currie_Bronte_Pier_0_NO2_A,0.0057,mg.L,0.003,
Currie,Bronte_Pier,0,NO2,B,Currie_Bronte_Pier_0_NO2_B,0.0057,mg.L,0.003,
Currie,CCIW_Hamilton_Harbour,1,NO2,A,Currie_CCIW_Hamilton_Harbour_1_NO2_A,0.0371,mg.L,0.003,
Currie,CCIW_Hamilton_Harbour,1,NO2,B,Currie_CCIW_Hamilton_Harbour_1_NO2_B,0.0375,mg.L,0.003,
Currie,CCIW_Hamilton_Harbour,6,NO2,A,Currie_CCIW_Hamilton_Harbour_6_NO2_A,0.0596,mg.L,0.003,
Currie,CCIW_Hamilton_Harbour,6,NO2,B,Currie_CCIW_Hamilton_Harbour_6_NO2_B,0.0589,mg.L,0.003,
McKay,EC_1,0.5,NO2,A,McKay_EC_1_0.5_NO2_A,0.0025,mg.L,0.003,
McKay,EC_1,0.5,NO2,B,McKay_EC_1_0.5_NO2_B,0.0027,mg.L,0.003,
McKay,EC_1,9,NO2,A,McKay_EC_1_9_NO2_A,0.0022,mg.L,0.003,
McKay,EC_1,9,NO2,B,McKay_EC_1_9_NO2_B,0.0023,mg.L,0.003,
McKay,EC_12,0.5,NO2,A,McKay_EC_12_0.5_NO2_A,0.0016,mg.L,0.003,
McKay,EC_12,0.5,NO2,B,McKay_EC_12_0.5_NO2_B,0.0016,mg.L,0.003,
McKay,EC_1326,0.5,NO2,A,McKay_EC_1326_0.5_NO2_A,0.0026,mg.L,0.003,
McKay,EC_1326,0.5,NO2,B,McKay_EC_1326_0.5_NO2_B,0.0016,mg.L,0.003,
McKay,EC_3,0.5,NO2,A,McKay_EC_3_0.5_NO2_A,0.0024,mg.L,0.003,
McKay,EC_3,0.5,NO2,B,McKay_EC_3_0.5_NO2_B,0.0023,mg.L,0.003,
McKay,EC_341,0.5,NO2,A,McKay_EC_341_0.5_NO2_A,0.002,mg.L,0.003,
McKay,EC_341,0.5,NO2,B,McKay_EC_341_0.5_NO2_B,0.0019,mg.L,0.003,
McKay,EC_84,0.5,NO2,A,McKay_EC_84_0.5_NO2_A,0.0023,mg.L,0.003,
McKay,EC_84,0.5,NO2,B,McKay_EC_84_0.5_NO2_B,0.0019,mg.L,0.003,
McKay,EC_9,0.5,NO2,A,McKay_EC_9_0.5_NO2_A,0.0014,mg.L,0.003,
McKay,EC_9,0.5,NO2,B,McKay_EC_9_0.5_NO2_B,0.0014,mg.L,0.003,
McKay,EC_970,0.5,NO2,A,McKay_EC_970_0.5_NO2_A,0.003,mg.L,0.003,
McKay,EC_970,0.5,NO2,B,McKay_EC_970_0.5_NO2_B,0.0034,mg.L,0.003,
McKay,ER_78M,0.5,NO2,A,McKay_ER_78M_0.5_NO2_A,0.0019,mg.L,0.003,
McKay,ER_78M,0.5,NO2,B,McKay_ER_78M_0.5_NO2_B,0.0014,mg.L,0.003,
McKay,ER_91M,0.5,NO2,A,McKay_ER_91M_0.5_NO2_A,0.0047,mg.L,0.003,
McKay,ER_91M,0.5,NO2,B,McKay_ER_91M_0.5_NO2_B,0.0045,mg.L,0.003,
Pearce/Xenopolous,GB1,0.45,NO2,A,Pearce/Xenopolous_GB1_0.45_NO2_A,0.002,mg.L,0.003,
Pearce/Xenopolous,GB1,0.45,NO2,B,Pearce/Xenopolous_GB1_0.45_NO2_B,0.0019,mg.L,0.003,
Pearce/Xenopolous,GB1,7,NO2,A,Pearce/Xenopolous_GB1_7_NO2_A,0.0017,mg.L,0.003,
Pearce/Xenopolous,GB1,7,NO2,B,Pearce/Xenopolous_GB1_7_NO2_B,0.002,mg.L,0.003,
McKay,GR001,ND,NO2,A,McKay_GR001_ND_NO2_A,0.0038,mg.L,0.003,
McKay,GR001,ND,NO2,B,McKay_GR001_ND_NO2_B,0.0037,mg.L,0.003,
Ozersky,Green_Bay,0.5,NO2,A,Ozersky_Green_Bay_0.5_NO2_A,0.0038,mg.L,0.003,
Ozersky,Green_Bay,0.5,NO2,B,Ozersky_Green_Bay_0.5_NO2_B,0.0039,mg.L,0.003,
Ozersky,Green_Bay,5,NO2,A,Ozersky_Green_Bay_5_NO2_A,0.0038,mg.L,0.003,
Ozersky,Green_Bay,5,NO2,B,Ozersky_Green_Bay_5_NO2_B,0.0041,mg.L,0.003,
Vick-Majors,Keweenaw_Bay_KB,0.5,NO2,A,Vick-Majors_Keweenaw_Bay_KB_0.5_NO2_A,0.0005,mg.L,0.003,
Vick-Majors,Keweenaw_Bay_KB,0.5,NO2,B,Vick-Majors_Keweenaw_Bay_KB_0.5_NO2_B,0.0004,mg.L,0.003,
