pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Ozersky,Apostles,0,PC,A,Ozersky_Apostles_0_PC_A,0.776667146,ug/L,
Ozersky,Apostles,0,PE,A,Ozersky_Apostles_0_PE_A,2.350562846,ug/L,
Ozersky,Apostles,31,PC,A,Ozersky_Apostles_31_PC_A,2.705794008,ug/L,
Ozersky,Apostles,31,PE,A,Ozersky_Apostles_31_PE_A,9.099882004,ug/L,
Pearce/Xenopolous,BQ1,0,PC,A,Pearce/Xenopolous_BQ1_0_PC_A,1.653844586,ug/L,
Pearce/Xenopolous,BQ1,0,PE,A,Pearce/Xenopolous_BQ1_0_PE_A,2.153479548,ug/L,
Pearce/Xenopolous,BQ1,9,PC,A,Pearce/Xenopolous_BQ1_9_PC_A,1.911591334,ug/L,
Pearce/Xenopolous,BQ1,9,PE,A,Pearce/Xenopolous_BQ1_9_PE_A,8.142719222,ug/L,
Currie,Bronte_Pier,0,PC,A,Currie_Bronte_Pier_0_PC_A,4.077824742,ug/L,
Currie,Bronte_Pier,0,PE,A,Currie_Bronte_Pier_0_PE_A,25.12963172,ug/L,
Currie,CCIW_Hamilton_Harbour,1,PC,A,Currie_CCIW_Hamilton_Harbour_1_PC_A,1.71436221,ug/L,
Currie,CCIW_Hamilton_Harbour,1,PE,A,Currie_CCIW_Hamilton_Harbour_1_PE_A,8.910673288,ug/L,
Currie,CCIW_Hamilton_Harbour,6,PC,A,Currie_CCIW_Hamilton_Harbour_6_PC_A,1.371854332,ug/L,
Currie,CCIW_Hamilton_Harbour,6,PE,A,Currie_CCIW_Hamilton_Harbour_6_PE_A,8.178628776,ug/L,
Pearce/Xenopolous,GB1,0,PC,A,Pearce/Xenopolous_GB1_0_PC_A,1.106634022,ug/L,
Pearce/Xenopolous,GB1,0,PE,A,Pearce/Xenopolous_GB1_0_PE_A,6.423253116,ug/L,
Pearce/Xenopolous,GB1,7,PC,A,Pearce/Xenopolous_GB1_7_PC_A,1.651110356,ug/L,
Pearce/Xenopolous,GB1,7,PE,A,Pearce/Xenopolous_GB1_7_PE_A,7.551760978,ug/L,
Ozersky,Green_Bay,0,PC,A,Ozersky_Green_Bay_0_PC_A,1.702999965,ug/L,
Ozersky,Green_Bay,0,PE,A,Ozersky_Green_Bay_0_PE_A,9.287146379,ug/L,
Ozersky,Green_Bay,5,PC,A,Ozersky_Green_Bay_5_PC_A,1.510899042,ug/L,
Ozersky,Green_Bay,5,PE,A,Ozersky_Green_Bay_5_PE_A,7.887415053,ug/L,
Vick-Majors,Keweenaw_Bay_KB,0,PC,A,Vick-Majors_Keweenaw_Bay_KB_0_PC_A,1.073823262,ug/L,
Vick-Majors,Keweenaw_Bay_KB,0,PE,A,Vick-Majors_Keweenaw_Bay_KB_0_PE_A,5.835211384,ug/L,
Vick-Majors,Keweenaw_Bay_KB,17.5,PC,A,Vick-Majors_Keweenaw_Bay_KB_17.5_PC_A,2.095149308,ug/L,
Vick-Majors,Keweenaw_Bay_KB,17.5,PE,A,Vick-Majors_Keweenaw_Bay_KB_17.5_PE_A,9.69102253,ug/L,
Vick-Majors,Keweenaw_Waterway_KW,0,PC,A,Vick-Majors_Keweenaw_Waterway_KW_0_PC_A,6.592775376,ug/L,
Vick-Majors,Keweenaw_Waterway_KW,0,PE,A,Vick-Majors_Keweenaw_Waterway_KW_0_PE_A,17.78634843,ug/L,
