pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Chaffin,South_Bass_Island,0.5,Pmax,A,Chaffin_South_Bass_Island_0.5_Pmax_A,5.646,g C/g Chl a/hr,
Venderploeg,WE6,0.25,Pmax,A,Venderploeg_WE6_0.25_Pmax_A,3.599,g C/g Chl a/hr,
Uzarski,Eagle_Bay_Saginaw_Bay,0,Pmax,A,Uzarski_Eagle_Bay_Saginaw_Bay_0_Pmax_A,0.0935,g C/g Chl a/hr,
Godwin,SB1,0.7,Pmax,A,Godwin_SB1_0.7_Pmax_A,2.86,g C/g Chl a/hr,
Godwin,SB14,0.7,Pmax,A,Godwin_SB14_0.7_Pmax_A,3.617,g C/g Chl a/hr,
Doubek,Saint_Martin_Bay_SM-LH,1,Pmax,A,Doubek_Saint_Martin_Bay_SM-LH_1_Pmax_A,0.108,g C/g Chl a/hr,
Ozersky,Green_Bay,0.5,Pmax,A,Ozersky_Green_Bay_0.5_Pmax_A,3.09,g C/g Chl a/hr,
Ozersky,Green_Bay,5,Pmax,A,Ozersky_Green_Bay_5_Pmax_A,0.927,g C/g Chl a/hr,
Twiss,U17,0,Pmax,A,Twiss_U17_0_Pmax_A,0.285,g C/g Chl a/hr,
Ozersky,Apostles,0.4,Pmax,A,Ozersky_Apostles_0.4_Pmax_A,0.512,g C/g Chl a/hr,
Vick-Majors,Keweenaw_Bay_KB,0.5,Pmax,A,Vick-Majors_Keweenaw_Bay_KB_0.5_Pmax_A,0.597,g C/g Chl a/hr,
Doubek,Whitefish_Bay_WB-LS,1,Pmax,A,Doubek_Whitefish_Bay_WB-LS_1_Pmax_A,0.965,g C/g Chl a/hr,
Chaffin,South_Bass_Island,0.5,Alpha,A,Chaffin_South_Bass_Island_0.5_Alpha_A,0.0368,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Venderploeg,WE6,0.25,Alpha,A,Venderploeg_WE6_0.25_Alpha_A,0.023,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Uzarski,Eagle_Bay_Saginaw_Bay,0,Alpha,A,Uzarski_Eagle_Bay_Saginaw_Bay_0_Alpha_A,0.002,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Godwin,SB1,0.7,Alpha,A,Godwin_SB1_0.7_Alpha_A,0.0139,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Godwin,SB14,0.7,Alpha,A,Godwin_SB14_0.7_Alpha_A,0.0215,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Doubek,Saint_Martin_Bay_SM-LH,1,Alpha,A,Doubek_Saint_Martin_Bay_SM-LH_1_Alpha_A,0.0028,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Ozersky,Green_Bay,0.5,Alpha,A,Ozersky_Green_Bay_0.5_Alpha_A,0.0218,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Ozersky,Green_Bay,5,Alpha,A,Ozersky_Green_Bay_5_Alpha_A,0.0031,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Twiss,U17,0,Alpha,A,Twiss_U17_0_Alpha_A,0.0068,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Ozersky,Apostles,0.4,Alpha,A,Ozersky_Apostles_0.4_Alpha_A,0.0026,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Vick-Majors,Keweenaw_Bay_KB,0.5,Alpha,A,Vick-Majors_Keweenaw_Bay_KB_0.5_Alpha_A,0.0083,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Doubek,Whitefish_Bay_WB-LS,1,Alpha,A,Doubek_Whitefish_Bay_WB-LS_1_Alpha_A,0.0139,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Chaffin,South_Bass_Island,0.5,Beta,A,Chaffin_South_Bass_Island_0.5_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Venderploeg,WE6,0.25,Beta,A,Venderploeg_WE6_0.25_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Uzarski,Eagle_Bay_Saginaw_Bay,0,Beta,A,Uzarski_Eagle_Bay_Saginaw_Bay_0_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Godwin,SB1,0.7,Beta,A,Godwin_SB1_0.7_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Godwin,SB14,0.7,Beta,A,Godwin_SB14_0.7_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Doubek,Saint_Martin_Bay_SM-LH,1,Beta,A,Doubek_Saint_Martin_Bay_SM-LH_1_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Ozersky,Green_Bay,0.5,Beta,A,Ozersky_Green_Bay_0.5_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Ozersky,Green_Bay,5,Beta,A,Ozersky_Green_Bay_5_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Twiss,U17,0,Beta,A,Twiss_U17_0_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Ozersky,Apostles,0.4,Beta,A,Ozersky_Apostles_0.4_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Vick-Majors,Keweenaw_Bay_KB,0.5,Beta,A,Vick-Majors_Keweenaw_Bay_KB_0.5_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
Doubek,Whitefish_Bay_WB-LS,1,Beta,A,Doubek_Whitefish_Bay_WB-LS_1_Beta_A,0,[g C/g Chl a/hr]/[µmol quanta/m2/s],
