pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
Ozersky,Apostles,0.4,TDP,A,Ozersky_Apostles_0.4_TDP_A,5.49,ug.L,0.6,
Ozersky,Apostles,0.4,TDP,B,Ozersky_Apostles_0.4_TDP_B,4.5,ug.L,0.6,
Ozersky,Apostles,0.4,TDP,C,Ozersky_Apostles_0.4_TDP_C,5.71,ug.L,0.6,
Ozersky,Apostles,31,TDP,A,Ozersky_Apostles_31_TDP_A,5.02,ug.L,0.6,
Ozersky,Apostles,31,TDP,B,Ozersky_Apostles_31_TDP_B,5.58,ug.L,0.6,
Ozersky,Apostles,31,TDP,C,Ozersky_Apostles_31_TDP_C,5.14,ug.L,0.6,
McGregor/Twiss,BI_Birch_Island,0,TDP,A,McGregor/Twiss_BI_Birch_Island_0_TDP_A,8.11,ug.L,0.6,
McGregor/Twiss,BI_Birch_Island,0,TDP,B,McGregor/Twiss_BI_Birch_Island_0_TDP_B,6.02,ug.L,0.6,
McGregor/Twiss,BI_Birch_Island,0,TDP,C,McGregor/Twiss_BI_Birch_Island_0_TDP_C,5.15,ug.L,0.6,
Pearce/Xenopolous,BQ1,0,TDP,A,Pearce/Xenopolous_BQ1_0_TDP_A,6.34,ug.L,0.6,
Pearce/Xenopolous,BQ1,0,TDP,B,Pearce/Xenopolous_BQ1_0_TDP_B,7.36,ug.L,0.6,
Pearce/Xenopolous,BQ1,0,TDP,C,Pearce/Xenopolous_BQ1_0_TDP_C,6.76,ug.L,0.6,
Pearce/Xenopolous,BQ1,9,TDP,A,Pearce/Xenopolous_BQ1_9_TDP_A,5.53,ug.L,0.6,
Pearce/Xenopolous,BQ1,9,TDP,B,Pearce/Xenopolous_BQ1_9_TDP_B,6.31,ug.L,0.6,
Pearce/Xenopolous,BQ1,9,TDP,C,Pearce/Xenopolous_BQ1_9_TDP_C,6.63,ug.L,0.6,
Currie,Bronte_Pier,0,TDP,A,Currie_Bronte_Pier_0_TDP_A,15.64,ug.L,0.6,
Currie,Bronte_Pier,0,TDP,B,Currie_Bronte_Pier_0_TDP_B,15.98,ug.L,0.6,
