pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Bramburger,Ontario_-_St._Catharines,1,TN,A,Bramburger_Ontario_-_St._Catharines_1_TN_A,0.353,mg.L,
Bullerjahn/McKay,Sandusky_Bay,0.5,TN,A,Bullerjahn/McKay_Sandusky_Bay_0.5_TN_A,4.66,mg.L,
Bullerjahn/McKay,Sandusky_Bay,1,TN,A,Bullerjahn/McKay_Sandusky_Bay_1_TN_A,5.1,mg.L,
Chaffin,South_Bass_Island,0.5,TN,A,Chaffin_South_Bass_Island_0.5_TN_A,1.04,mg.L,
Chaffin,South_Bass_Island,9,TN,A,Chaffin_South_Bass_Island_9_TN_A,0.723,mg.L,
Currie,Bronte_Pier,0,TN,A,Currie_Bronte_Pier_0_TN_A,0.749,mg.L,
Currie,CCIW_Hamilton_Harbour,1,TN,A,Currie_CCIW_Hamilton_Harbour_1_TN_A,2.34,mg.L,
Currie,CCIW_Hamilton_Harbour,6,TN,A,Currie_CCIW_Hamilton_Harbour_6_TN_A,3.27,mg.L,
Depew,Parry_Sound_Georgian_Bay,1,TN,A,Depew_Parry_Sound_Georgian_Bay_1_TN_A,0.519,mg.L,
Doubek,Saint_Martin_Bay_SM-LH,1,TN,A,Doubek_Saint_Martin_Bay_SM-LH_1_TN_A,0.438,mg.L,
Doubek,Saint_Martin_Bay_SM-LH,8.5,TN,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_TN_A,0.428,mg.L,
Doubek,Whitefish_Bay_WB-LS,1,TN,A,Doubek_Whitefish_Bay_WB-LS_1_TN_A,0.52,mg.L,
Doubek,Whitefish_Bay_WB-LS,9,TN,A,Doubek_Whitefish_Bay_WB-LS_9_TN_A,0.464,mg.L,
Eveleth,Lorain,0.2,TN,A,Eveleth_Lorain_0.2_TN_A,1.12,mg.L,
Eveleth,Lorain,2,TN,A,Eveleth_Lorain_2_TN_A,1.15,mg.L,
Godwin,SB1,0.7,TN,A,Godwin_SB1_0.7_TN_A,1.31,mg.L,
Godwin,SB14,0.7,TN,A,Godwin_SB14_0.7_TN_A,1.24,mg.L,
Godwin,SB14,3,TN,A,Godwin_SB14_3_TN_A,1.17,mg.L,
Karpovich,Saginaw_River,0.3,TN,A,Karpovich_Saginaw_River_0.3_TN_A,2.34,mg.L,
McGregor/Twiss,BI_Birch_Island,0,TN,A,McGregor/Twiss_BI_Birch_Island_0_TN_A,0.364,mg.L,
McGregor/Twiss,LC_Little_Current,0,TN,A,McGregor/Twiss_LC_Little_Current_0_TN_A,0.296,mg.L,
McGregor/Twiss,RD_Bay_of_Islands_Whitefish_Falls,0,TN,A,McGregor/Twiss_RD_Bay_of_Islands_Whitefish_Falls_0_TN_A,0.369,mg.L,
