pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
Ozersky,Apostles,0.4,TP,A,Ozersky_Apostles_0.4_TP_A,4.54,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Ozersky,Apostles,31,TP,A,Ozersky_Apostles_31_TP_A,4.45,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
McGregor/Twiss,BI_Birch_Island,0,TP,A,McGregor/Twiss_BI_Birch_Island_0_TP_A,4.95,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Pearce/Xenopolous,BQ1,0,TP,A,Pearce/Xenopolous_BQ1_0_TP_A,6.84,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Pearce/Xenopolous,BQ1,9,TP,A,Pearce/Xenopolous_BQ1_9_TP_A,6.95,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Currie,Bronte_Pier,0,TP,A,Currie_Bronte_Pier_0_TP_A,13.98,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Currie,CCIW_Hamilton_Harbour,1,TP,A,Currie_CCIW_Hamilton_Harbour_1_TP_A,7.67,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Currie,CCIW_Hamilton_Harbour,6,TP,A,Currie_CCIW_Hamilton_Harbour_6_TP_A,7.13,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
Uzarski,Eagle_Bay_Saginaw_Bay,0.5,TP,A,Uzarski_Eagle_Bay_Saginaw_Bay_0.5_TP_A,7.87,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
McKay,EC_1,0.5,TP,A,McKay_EC_1_0.5_TP_A,4.67,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
McKay,EC_1,9,TP,A,McKay_EC_1_9_TP_A,3.7,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
McKay,EC_1156,5,TP,A,McKay_EC_1156_5_TP_A,4.48,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
McKay,EC_12,0.5,TP,A,McKay_EC_12_0.5_TP_A,3.92,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
McKay,EC_1326,0.5,TP,A,McKay_EC_1326_0.5_TP_A,5.27,ug.L,0.7,"Due to expired reagents, TP values are not reliable"
