pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Bramburger,Ontario_-_St._Catharines,1,alkalinity,A,Bramburger_Ontario_-_St._Catharines_1_alkalinity_A,NA,umol/kg,
Bramburger,Ontario_-_St._Catharines,1,alkalinity,B,Bramburger_Ontario_-_St._Catharines_1_alkalinity_B,NA,umol/kg,
Bullerjahn/McKay,Sandusky_Bay,0.5,alkalinity,A,Bullerjahn/McKay_Sandusky_Bay_0.5_alkalinity_A,NA,umol/kg,
Bullerjahn/McKay,Sandusky_Bay,0.5,alkalinity,B,Bullerjahn/McKay_Sandusky_Bay_0.5_alkalinity_B,NA,umol/kg,
Bullerjahn/McKay,Sandusky_Bay,1,alkalinity,A,Bullerjahn/McKay_Sandusky_Bay_1_alkalinity_A,NA,umol/kg,
Bullerjahn/McKay,Sandusky_Bay,1,alkalinity,B,Bullerjahn/McKay_Sandusky_Bay_1_alkalinity_B,NA,umol/kg,
Chaffin,South_Bass_Island,0.5,alkalinity,A,Chaffin_South_Bass_Island_0.5_alkalinity_A,NA,umol/kg,
Chaffin,South_Bass_Island,0.5,alkalinity,B,Chaffin_South_Bass_Island_0.5_alkalinity_B,NA,umol/kg,
Chaffin,South_Bass_Island,9,alkalinity,A,Chaffin_South_Bass_Island_9_alkalinity_A,NA,umol/kg,
Chaffin,South_Bass_Island,9,alkalinity,B,Chaffin_South_Bass_Island_9_alkalinity_B,NA,umol/kg,
Currie,Bronte_Pier,0,alkalinity,A,Currie_Bronte_Pier_0_alkalinity_A,3346,umol/kg,
Currie,Bronte_Pier,0,alkalinity,B,Currie_Bronte_Pier_0_alkalinity_B,3348,umol/kg,
Currie,CCIW_Hamilton_Harbour,1,alkalinity,A,Currie_CCIW_Hamilton_Harbour_1_alkalinity_A,2414,umol/kg,
Currie,CCIW_Hamilton_Harbour,1,alkalinity,B,Currie_CCIW_Hamilton_Harbour_1_alkalinity_B,2415,umol/kg,
Currie,CCIW_Hamilton_Harbour,6,alkalinity,A,Currie_CCIW_Hamilton_Harbour_6_alkalinity_A,2621,umol/kg,
Currie,CCIW_Hamilton_Harbour,6,alkalinity,B,Currie_CCIW_Hamilton_Harbour_6_alkalinity_B,2607,umol/kg,
Depew,Parry_Sound_Georgian_Bay,1,alkalinity,A,Depew_Parry_Sound_Georgian_Bay_1_alkalinity_A,NA,umol/kg,
Depew,Parry_Sound_Georgian_Bay,1,alkalinity,B,Depew_Parry_Sound_Georgian_Bay_1_alkalinity_B,NA,umol/kg,
Doubek,Saint_Martin_Bay_SM-LH,1,alkalinity,A,Doubek_Saint_Martin_Bay_SM-LH_1_alkalinity_A,1880,umol/kg,
Doubek,Saint_Martin_Bay_SM-LH,1,alkalinity,B,Doubek_Saint_Martin_Bay_SM-LH_1_alkalinity_B,1875,umol/kg,
Doubek,Saint_Martin_Bay_SM-LH,8.5,alkalinity,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_alkalinity_A,2012,umol/kg,
Doubek,Saint_Martin_Bay_SM-LH,8.5,alkalinity,B,Doubek_Saint_Martin_Bay_SM-LH_8.5_alkalinity_B,2005,umol/kg,
Doubek,Whitefish_Bay_WB-LS,1,alkalinity,A,Doubek_Whitefish_Bay_WB-LS_1_alkalinity_A,1052,umol/kg,
Doubek,Whitefish_Bay_WB-LS,1,alkalinity,B,Doubek_Whitefish_Bay_WB-LS_1_alkalinity_B,1052,umol/kg,
Doubek,Whitefish_Bay_WB-LS,9,alkalinity,A,Doubek_Whitefish_Bay_WB-LS_9_alkalinity_A,938,umol/kg,
Doubek,Whitefish_Bay_WB-LS,9,alkalinity,B,Doubek_Whitefish_Bay_WB-LS_9_alkalinity_B,937,umol/kg,
Eveleth,Lorain,0.2,alkalinity,A,Eveleth_Lorain_0.2_alkalinity_A,2098,umol/kg,
Eveleth,Lorain,0.2,alkalinity,B,Eveleth_Lorain_0.2_alkalinity_B,2098,umol/kg,
Eveleth,Lorain,2,alkalinity,A,Eveleth_Lorain_2_alkalinity_A,2096,umol/kg,
Eveleth,Lorain,2,alkalinity,B,Eveleth_Lorain_2_alkalinity_B,2096,umol/kg,
Godwin,SB1,0.7,alkalinity,A,Godwin_SB1_0.7_alkalinity_A,NA,umol/kg,
Godwin,SB1,0.7,alkalinity,B,Godwin_SB1_0.7_alkalinity_B,NA,umol/kg,
Godwin,SB14,0.7,alkalinity,A,Godwin_SB14_0.7_alkalinity_A,NA,umol/kg,
Godwin,SB14,0.7,alkalinity,B,Godwin_SB14_0.7_alkalinity_B,NA,umol/kg,
Godwin,SB14,3,alkalinity,A,Godwin_SB14_3_alkalinity_A,NA,umol/kg,
Godwin,SB14,3,alkalinity,B,Godwin_SB14_3_alkalinity_B,NA,umol/kg,
Karpovich,Saginaw_River,0.3,alkalinity,A,Karpovich_Saginaw_River_0.3_alkalinity_A,NA,umol/kg,
Karpovich,Saginaw_River,0.3,alkalinity,B,Karpovich_Saginaw_River_0.3_alkalinity_B,NA,umol/kg,
