pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Ozersky,Apostles,0.4,BP_Thymidine_Incorporation,A,Ozersky_Apostles_0.4_BP_Thymidine_Incorporation_A,4.31E-02,nmol_thymidine_L_day,
Ozersky,Apostles,0.4,BP_Leucine_Incorporation,A,Ozersky_Apostles_0.4_BP_Leucine_Incorporation_A,4.86E-01,nmol_leucine_L_day,
Ozersky,Apostles,0.4,BP_C_production_Thymidine,A,Ozersky_Apostles_0.4_BP_C_production_Thymidine_A,9.49E+02,ngC/L/d,
Ozersky,Apostles,0.4,BP_C_production_Leucine,A,Ozersky_Apostles_0.4_BP_C_production_Leucine_A,7.48E+02,ngC/L/d,
McGregor/Twiss,BI_Birch_Island,0,BP_Thymidine_Incorporation,A,McGregor/Twiss_BI_Birch_Island_0_BP_Thymidine_Incorporation_A,2.08E-02,nmol_thymidine_L_day,
McGregor/Twiss,BI_Birch_Island,0,BP_Leucine_Incorporation,A,McGregor/Twiss_BI_Birch_Island_0_BP_Leucine_Incorporation_A,4.51E-01,nmol_leucine_L_day,
McGregor/Twiss,BI_Birch_Island,0,BP_C_production_Thymidine,A,McGregor/Twiss_BI_Birch_Island_0_BP_C_production_Thymidine_A,4.59E+02,ngC/L/d,
McGregor/Twiss,BI_Birch_Island,0,BP_C_production_Leucine,A,McGregor/Twiss_BI_Birch_Island_0_BP_C_production_Leucine_A,6.95E+02,ngC/L/d,
Xenopoulos/Pearce,BQ1,0,BP_Leucine_Incorporation,A,Xenopoulos/Pearce_BQ1_0_BP_Leucine_Incorporation_A,1.32E+00,nmol_leucine_L_day,
Xenopoulos/Pearce,BQ1,0,BP_C_production_Leucine,A,Xenopoulos/Pearce_BQ1_0_BP_C_production_Leucine_A,2.04E+03,ngC/L/d,
Xenopoulos/Pearce,BQ1,0,BP_Thymidine_Incorporation,A,Xenopoulos/Pearce_BQ1_0_BP_Thymidine_Incorporation_A,7.32E-02,nmol_thymidine_L_day,
