pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
Ozersky,Apostles,0.4,Chla,A,Ozersky_Apostles_0.4_Chla_A,2.936028839,ug.L,0.025,
Ozersky,Apostles,0.4,Chla,B,Ozersky_Apostles_0.4_Chla_B,2.677695505,ug.L,0.025,
Ozersky,Apostles,31,Chla,A,Ozersky_Apostles_31_Chla_A,0.636028839,ug.L,0.025,
Ozersky,Apostles,31,Chla,B,Ozersky_Apostles_31_Chla_B,0.678528839,ug.L,0.025,
McGregor/Twiss,BI_Birch_Island,0,Chla,A,McGregor/Twiss_BI_Birch_Island_0_Chla_A,3.555391011,ug.L,0.025,
McGregor/Twiss,BI_Birch_Island,0,Chla,B,McGregor/Twiss_BI_Birch_Island_0_Chla_B,2.855391011,ug.L,0.025,
Pearce/Xenopolous,BQ1,0,Chla,A,Pearce/Xenopolous_BQ1_0_Chla_A,0.518724344,ug.L,0.025,
Pearce/Xenopolous,BQ1,0,Chla,B,Pearce/Xenopolous_BQ1_0_Chla_B,0.522057677,ug.L,0.025,
Pearce/Xenopolous,BQ1,9,Chla,A,Pearce/Xenopolous_BQ1_9_Chla_A,0.532057677,ug.L,0.025,
Pearce/Xenopolous,BQ1,9,Chla,B,Pearce/Xenopolous_BQ1_9_Chla_B,0.363724344,ug.L,0.025,
Currie,Bronte_Pier,0,Chla,A,Currie_Bronte_Pier_0_Chla_A,6.216173032,ug.L,0.025,
Currie,Bronte_Pier,0,Chla,B,Currie_Bronte_Pier_0_Chla_B,5.616173032,ug.L,0.025,
Currie,CCIW_Hamilton_Harbour,1,Chla,A,Currie_CCIW_Hamilton_Harbour_1_Chla_A,6.972057677,ug.L,0.025,
Currie,CCIW_Hamilton_Harbour,1,Chla,B,Currie_CCIW_Hamilton_Harbour_1_Chla_B,7.255391011,ug.L,0.025,
Currie,CCIW_Hamilton_Harbour,6,Chla,A,Currie_CCIW_Hamilton_Harbour_6_Chla_A,9.658086516,ug.L,0.025,
Currie,CCIW_Hamilton_Harbour,6,Chla,B,Currie_CCIW_Hamilton_Harbour_6_Chla_B,12.83308652,ug.L,0.025,
McKay,EC_1,0.5,Chla,A,McKay_EC_1_0.5_Chla_A,1.010469213,ug.L,0.025,
McKay,EC_1,0.5,Chla,B,McKay_EC_1_0.5_Chla_B,1.312469213,ug.L,0.025,
McKay,EC_1,9,Chla,A,McKay_EC_1_9_Chla_A,1.422469213,ug.L,0.025,
McKay,EC_1,9,Chla,B,McKay_EC_1_9_Chla_B,NA,ug.L,0.025,
McKay,EC_1156,0.5,Chla,A,McKay_EC_1156_0.5_Chla_A,0.468469213,ug.L,0.025,
McKay,EC_1156,0.5,Chla,B,McKay_EC_1156_0.5_Chla_B,0.488469213,ug.L,0.025,
McKay,EC_1156,0.5,Chla,C,McKay_EC_1156_0.5_Chla_C,0.492469213,ug.L,0.025,
McKay,EC_12,0.5,Chla,A,McKay_EC_12_0.5_Chla_A,NA,ug.L,0.025,
McKay,EC_12,0.5,Chla,B,McKay_EC_12_0.5_Chla_B,NA,ug.L,0.025,
McKay,EC_1326,0.5,Chla,A,McKay_EC_1326_0.5_Chla_A,10.26646921,ug.L,0.025,
McKay,EC_1326,0.5,Chla,B,McKay_EC_1326_0.5_Chla_B,9.986469213,ug.L,0.025,
McKay,EC_1326,0.5,Chla,C,McKay_EC_1326_0.5_Chla_C,11.32646921,ug.L,0.025,
McKay,EC_3,0.5,Chla,A,McKay_EC_3_0.5_Chla_A,NA,ug.L,0.025,
McKay,EC_3,0.5,Chla,B,McKay_EC_3_0.5_Chla_B,NA,ug.L,0.025,
McKay,EC_341,0.5,Chla,A,McKay_EC_341_0.5_Chla_A,12.98646921,ug.L,0.025,
McKay,EC_341,0.5,Chla,B,McKay_EC_341_0.5_Chla_B,5.226469213,ug.L,0.025,
McKay,EC_341,0.5,Chla,C,McKay_EC_341_0.5_Chla_C,7.006469213,ug.L,0.025,
McKay,EC_84,0.5,Chla,A,McKay_EC_84_0.5_Chla_A,24.01293843,ug.L,0.025,
McKay,EC_84,0.5,Chla,B,McKay_EC_84_0.5_Chla_B,32.69293843,ug.L,0.025,
McKay,EC_84,0.5,Chla,C,McKay_EC_84_0.5_Chla_C,29.21293843,ug.L,0.025,
McKay,EC_9,0.5,Chla,A,McKay_EC_9_0.5_Chla_A,NA,ug.L,0.025,
McKay,EC_9,0.5,Chla,B,McKay_EC_9_0.5_Chla_B,NA,ug.L,0.025,
