pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Ozersky,Apostles,0.4,chloride,A,Ozersky_Apostles_0.4_chloride_A,2.490821029,ppm,
Ozersky,Apostles,0.4,chloride,B,Ozersky_Apostles_0.4_chloride_B,2.611604846,ppm,
Ozersky,Apostles,31,chloride,A,Ozersky_Apostles_31_chloride_A,2.589216616,ppm,
Ozersky,Apostles,31,chloride,B,Ozersky_Apostles_31_chloride_B,2.458860572,ppm,
McGregor/Twiss,BI_Birch_Island,0,chloride,A,McGregor/Twiss_BI_Birch_Island_0_chloride_A,10.17846226,ppm,
McGregor/Twiss,BI_Birch_Island,0,chloride,B,McGregor/Twiss_BI_Birch_Island_0_chloride_B,10.31076269,ppm,
Pearce/Xenopolous,BQ1,0,chloride,A,Pearce/Xenopolous_BQ1_0_chloride_A,22.96282255,ppm,
Pearce/Xenopolous,BQ1,0,chloride,B,Pearce/Xenopolous_BQ1_0_chloride_B,23.26129507,ppm,
Pearce/Xenopolous,BQ1,9,chloride,A,Pearce/Xenopolous_BQ1_9_chloride_A,23.16137564,ppm,
Pearce/Xenopolous,BQ1,9,chloride,B,Pearce/Xenopolous_BQ1_9_chloride_B,23.26129507,ppm,
Currie,Bronte_Pier,0,chloride,A,Currie_Bronte_Pier_0_chloride_A,85.7244234,ppm,
Currie,Bronte_Pier,0,chloride,B,Currie_Bronte_Pier_0_chloride_B,84.62446811,ppm,
Currie,CCIW_Hamilton_Harbour,1,chloride,A,Currie_CCIW_Hamilton_Harbour_1_chloride_A,91.44241257,ppm,
Currie,CCIW_Hamilton_Harbour,1,chloride,B,Currie_CCIW_Hamilton_Harbour_1_chloride_B,92.63098802,ppm,
Currie,CCIW_Hamilton_Harbour,6,chloride,A,Currie_CCIW_Hamilton_Harbour_6_chloride_A,124.1323652,ppm,
Currie,CCIW_Hamilton_Harbour,6,chloride,B,Currie_CCIW_Hamilton_Harbour_6_chloride_B,123.0682287,ppm,
Uzarski,Eagle_Bay_Saginaw_Bay,0.5,chloride,A,Uzarski_Eagle_Bay_Saginaw_Bay_0.5_chloride_A,22.96282255,ppm,
Uzarski,Eagle_Bay_Saginaw_Bay,0.5,chloride,B,Uzarski_Eagle_Bay_Saginaw_Bay_0.5_chloride_B,23.26129507,ppm,
McKay,EC_1,0.5,chloride,A,McKay_EC_1_0.5_chloride_A,11.58159508,ppm,
McKay,EC_1,0.5,chloride,B,McKay_EC_1_0.5_chloride_B,11.33497786,ppm,
McKay,EC_1156,0.5,chloride,A,McKay_EC_1156_0.5_chloride_A,16.06399028,ppm,
