pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Bramburger,Ontario_-_St._Catharines,1,micro_fc,1,Bramburger_Ontario_-_St._Catharines_1_micro_fc_1,1.99E+06,cells_mL-1,
Bramburger,Ontario_-_St._Catharines,1,micro_fc,2,Bramburger_Ontario_-_St._Catharines_1_micro_fc_2,2.39E+06,cells_mL-1,
Bramburger,Ontario_-_St._Catharines,1,micro_fc,3,Bramburger_Ontario_-_St._Catharines_1_micro_fc_3,1.85E+06,cells_mL-1,low confidence
Chaffin,South_Bass_Island,0.5,micro_fc,1,Chaffin_South_Bass_Island_0.5_micro_fc_1,1.49E+06,cells_mL-1,low confidence
Chaffin,South_Bass_Island,0.5,micro_fc,2,Chaffin_South_Bass_Island_0.5_micro_fc_2,2.35E+06,cells_mL-1,low confidence
Chaffin,South_Bass_Island,0.5,micro_fc,3,Chaffin_South_Bass_Island_0.5_micro_fc_3,1.50E+06,cells_mL-1,low confidence
Chaffin,South_Bass_Island,9,micro_fc,1,Chaffin_South_Bass_Island_9_micro_fc_1,2.33E+06,cells_mL-1,low confidence
Chaffin,South_Bass_Island,9,micro_fc,2,Chaffin_South_Bass_Island_9_micro_fc_2,3.22E+06,cells_mL-1,low confidence
Chaffin,South_Bass_Island,9,micro_fc,3,Chaffin_South_Bass_Island_9_micro_fc_3,3.58E+06,cells_mL-1,low confidence
Currie,Bronte_Pier,0,micro_fc,1,Currie_Bronte_Pier_0_micro_fc_1,1.66E+06,cells_mL-1,
Currie,Bronte_Pier,0,micro_fc,2,Currie_Bronte_Pier_0_micro_fc_2,1.82E+06,cells_mL-1,
Currie,Bronte_Pier,0,micro_fc,3,Currie_Bronte_Pier_0_micro_fc_3,2.80E+06,cells_mL-1,
Currie,CCIW_Hamilton_Harbour,1,micro_fc,1,Currie_CCIW_Hamilton_Harbour_1_micro_fc_1,1.60E+06,cells_mL-1,
Currie,CCIW_Hamilton_Harbour,1,micro_fc,2,Currie_CCIW_Hamilton_Harbour_1_micro_fc_2,2.21E+06,cells_mL-1,
Currie,CCIW_Hamilton_Harbour,1,micro_fc,3,Currie_CCIW_Hamilton_Harbour_1_micro_fc_3,1.75E+06,cells_mL-1,
Currie,CCIW_Hamilton_Harbour,6,micro_fc,1,Currie_CCIW_Hamilton_Harbour_6_micro_fc_1,2.39E+06,cells_mL-1,
Currie,CCIW_Hamilton_Harbour,6,micro_fc,2,Currie_CCIW_Hamilton_Harbour_6_micro_fc_2,1.62E+06,cells_mL-1,
Currie,CCIW_Hamilton_Harbour,6,micro_fc,3,Currie_CCIW_Hamilton_Harbour_6_micro_fc_3,2.73E+06,cells_mL-1,
Depew,Parry_Sound_Georgian_Bay,1,micro_fc,1,Depew_Parry_Sound_Georgian_Bay_1_micro_fc_1,1.14E+06,cells_mL-1,
Depew,Parry_Sound_Georgian_Bay,1,micro_fc,2,Depew_Parry_Sound_Georgian_Bay_1_micro_fc_2,1.38E+06,cells_mL-1,
Depew,Parry_Sound_Georgian_Bay,1,micro_fc,3,Depew_Parry_Sound_Georgian_Bay_1_micro_fc_3,1.81E+06,cells_mL-1,low confidence
