pi_name,station,depth_m,rep,analysis,sample_name,bacteria_cells_ml-1,autotrophic_picoplankton_cells_ml-1,heterotrophic_nanoflagellates_cells_ml-1,bacteria_mg_m-3,autotrophic_picoplankton_mg_m-3,heterotrophic_nanoflagellates_mg_m-3,total_mg_m-3,notes
Ozersky,Apostles,0,A,microbial_loop_abundance,Ozersky_Apostles_0_A_microbial_loop_abundance,2569853.374,10874.09031,9514.829022,233.5996717,19.79084436,1208.383286,1461.773802,very clean sample - few bacteria very healthy APP and very few phyto
Ozersky,Green_Bay,0,A,microbial_loop_abundance,Ozersky_Green_Bay_0_A_microbial_loop_abundance,2442422.628,81108.93736,7114.883309,222.0162169,147.618266,903.5901802,1273.224663,scum layer in this sample too & flocs
Ozersky,Green_Bay,5,A,microbial_loop_abundance,Ozersky_Green_Bay_5_A_microbial_loop_abundance,1120328.64,13274.03602,2230.038052,101.8378734,24.15874556,283.2148326,409.2114516,lots of filmy scum over entire slide
McGregor/Twiss,LC_Little_Current,0,A,microbial_loop_abundance,McGregor/Twiss_LC_Little_Current_0_A_microbial_loop_abundance,1545097.793,84587.65025,6159.152715,140.4493894,153.9495234,782.2123948,1076.611308,very small bacteria fading fast
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,A,microbial_loop_abundance,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_A_microbial_loop_abundance,2449318.231,22330.72117,5582.680293,222.6430272,40.64191254,709.0003972,972.285337,
Pearce/Xenopoulos,GB1,0,A,microbial_loop_abundance,Pearce/Xenopoulos_GB1_0_A_microbial_loop_abundance,3341517.335,25146.33384,7815.752411,303.7439257,45.76632759,992.6005561,1342.110809,
Pearce/Xenopoulos,GB1,7,A,microbial_loop_abundance,Pearce/Xenopoulos_GB1_7_A_microbial_loop_abundance,837793.5363,2912.702762,8980.833515,76.15543245,5.301119026,1140.565856,1222.022408,
McKay,LSC-MB,0,A,microbial_loop_abundance,McKay_LSC-MB_0_A_microbial_loop_abundance,3410289.484,329196.0934,15048.96427,309.9953141,599.13689,1911.218462,2820.350666,
Chaffin,South_Bass_Island,0.5,A,microbial_loop_abundance,Chaffin_South_Bass_Island_0.5_A_microbial_loop_abundance,1779985.021,21117.09502,1941.801841,161.8006384,38.43311294,246.6088338,446.8425852,lots of clumpy detritus
Bullerjahn/McKay,Sandusky_Bay,0.5,A,microbial_loop_abundance,Bullerjahn/McKay_Sandusky_Bay_0.5_A_microbial_loop_abundance,970900.9206,70457.74042,367.7655002,88.25489368,128.2330876,46.70621853,263.1941998,Mucillaginous detritus everywhere in sample lots of curved heterotrohphic 'strings'
Currie,CCIW_Hamilton_Harbour,1,A,microbial_loop_abundance,Currie_CCIW_Hamilton_Harbour_1_A_microbial_loop_abundance,6702629.676,12212.11314,1911.461187,609.2690375,22.22604592,242.7555708,874.2506542,
Currie,CCIW_Hamilton_Harbour,6,A,microbial_loop_abundance,Currie_CCIW_Hamilton_Harbour_6_A_microbial_loop_abundance,14726215.56,13061.65145,3079.576357,1338.612995,23.77220563,391.1061974,1753.491398,
Pearce/Xenopoulos,BQ1,9,A,microbial_loop_abundance,Pearce/Xenopoulos_BQ1_9_A_microbial_loop_abundance,16857140.81,152331.0065,2548.614917,1532.3141,277.2424318,323.6740944,2133.230626,"No scum, many more faded APP than bright - but there are brignt ones so preservation okay, some super tiny APP"
Bramburger,Ontario_-_St._Catharines,1,A,microbial_loop_abundance,Bramburger_Ontario_-_St._Catharines_1_A_microbial_loop_abundance,1881120.534,60984.71407,21359.82025,170.9938565,110.9921796,2712.697172,2994.683208,floculated looking field - lumpy and not even.  Made 2 slides - is sample. Large bacteria in this sample
