pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
Ozersky,Apostles,0,Microcystin,A,Ozersky_Apostles_0_Microcystin_A,<MDL,µg/L,0.1,
Ozersky,Apostles,31,Microcystin,A,Ozersky_Apostles_31_Microcystin_A,<MDL,µg/L,0.1,
Maggie_Xenopoulos_&_Nolan_Pearce,BQ1,0,Microcystin,A,Maggie_Xenopoulos_&_Nolan_Pearce_BQ1_0_Microcystin_A,<MDL,µg/L,0.1,
Maggie_Xenopoulos_&_Nolan_Pearce,BQ1,9,Microcystin,A,Maggie_Xenopoulos_&_Nolan_Pearce_BQ1_9_Microcystin_A,<MDL,µg/L,0.1,
Currie,Bronte_Pier,0,Microcystin,A,Currie_Bronte_Pier_0_Microcystin_A,<MDL,µg/L,0.1,
Warren_Currie,CCIW_Hamilton_Harbour,1,Microcystin,A,Warren_Currie_CCIW_Hamilton_Harbour_1_Microcystin_A,<MDL,µg/L,0.1,
Maggie_Xenopoulos_&_Nolan_Pearce,GB1,0,Microcystin,A,Maggie_Xenopoulos_&_Nolan_Pearce_GB1_0_Microcystin_A,<MDL,µg/L,0.1,
Maggie_Xenopoulos_&_Nolan_Pearce,GB1,7,Microcystin,A,Maggie_Xenopoulos_&_Nolan_Pearce_GB1_7_Microcystin_A,<MDL,µg/L,0.1,
Ozersky,Green_Bay,0,Microcystin,A,Ozersky_Green_Bay_0_Microcystin_A,<MDL,µg/L,0.1,
Ozersky,Green_Bay,5,Microcystin,A,Ozersky_Green_Bay_5_Microcystin_A,<MDL,µg/L,0.1,
Vick-Majors,Keweenaw_Bay_KB,0,Microcystin,A,Vick-Majors_Keweenaw_Bay_KB_0_Microcystin_A,<MDL,µg/L,0.1,
Vick-Majors,Keweenaw_Bay_KB,17.5,Microcystin,A,Vick-Majors_Keweenaw_Bay_KB_17.5_Microcystin_A,<MDL,µg/L,0.1,
Vick-Majors,Keweenaw_Waterway_KW,0,Microcystin,A,Vick-Majors_Keweenaw_Waterway_KW_0_Microcystin_A,<MDL,µg/L,0.1,
Vick-Majors,Keweenaw_Waterway_KW,5,Microcystin,A,Vick-Majors_Keweenaw_Waterway_KW_5_Microcystin_A,<MDL,µg/L,0.1,
Eveleth,Lorain,0.2,Microcystin,A,Eveleth_Lorain_0.2_Microcystin_A,<MDL,µg/L,0.1,
Eveleth,Lorain,2,Microcystin,A,Eveleth_Lorain_2_Microcystin_A,<MDL,µg/L,0.1,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,Microcystin,A,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_Microcystin_A,<MDL,µg/L,0.1,
Zastepa,RW_Ridgeway_Abino_Bay,1,Microcystin,A,Zastepa_RW_Ridgeway_Abino_Bay_1_Microcystin_A,<MDL,µg/L,0.1,
Karpovich,Saginaw_River,0,Microcystin,A,Karpovich_Saginaw_River_0_Microcystin_A,<MDL,µg/L,0.1,
Doubek,Saint_Martin_Bay_SM-LH,1,Microcystin,A,Doubek_Saint_Martin_Bay_SM-LH_1_Microcystin_A,<MDL,µg/L,0.1,
Doubek,Saint_Martin_Bay_SM-LH,8.5,Microcystin,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_Microcystin_A,<MDL,µg/L,0.1,
Godwin,SB1,0.5,Microcystin,A,Godwin_SB1_0.5_Microcystin_A,<MDL,µg/L,0.1,
Godwin,SB1,9,Microcystin,A,Godwin_SB1_9_Microcystin_A,<MDL,µg/L,0.1,
Godwin,SB14,0,Microcystin,A,Godwin_SB14_0_Microcystin_A,<MDL,µg/L,0.1,
Godwin,SB14,3.7,Microcystin,A,Godwin_SB14_3.7_Microcystin_A,<MDL,µg/L,0.1,
Rennie,Silver_Harbour_Thunder_Bay,0,Microcystin,A,Rennie_Silver_Harbour_Thunder_Bay_0_Microcystin_A,<MDL,µg/L,0.1,
Rennie,Silver_Harbour_Thunder_Bay,10,Microcystin,A,Rennie_Silver_Harbour_Thunder_Bay_10_Microcystin_A,<MDL,µg/L,0.1,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,Microcystin,A,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_Microcystin_A,<MDL,µg/L,0.1,
Vanderploeg,WE-6,0,Microcystin,A,Vanderploeg_WE-6_0_Microcystin_A,<MDL,µg/L,0.1,
Vanderploeg,WE-6,2.8,Microcystin,A,Vanderploeg_WE-6_2.8_Microcystin_A,<MDL,µg/L,0.1,
Doubek,Whitefish_Bay_WB-LS,1,Microcystin,A,Doubek_Whitefish_Bay_WB-LS_1_Microcystin_A,<MDL,µg/L,0.1,
Doubek,Whitefish_Bay_WB-LS,9,Microcystin,A,Doubek_Whitefish_Bay_WB-LS_9_Microcystin_A,<MDL,µg/L,0.1,
Zastepa,WP_Waverly_Beach_Park,1,Microcystin,A,Zastepa_WP_Waverly_Beach_Park_1_Microcystin_A,<MDL,µg/L,0.1,
