pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_l-1,notes
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Stephanodiscus_binderanus_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Stephanodiscus_spp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Aulacoseira_spp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Fragilaria_spp_cell_mL-1,9000,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Nitzschia_sp_cell_mL-1,500,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Staurosira_spp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Asterionella_formosa_cell_mL-1,9000,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Acinoccl_spp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Surirella_s_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Navicula_spp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Diatoma_spp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Tabellaria_spp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Synedra_spp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Gomphonema_sp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Hippodonta_spp_cell_mL-1,0,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Uroselenia_spp_cell_mL-1,1400,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,centric_<9_um_cell_mL-1,9000,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,centric_>9_um_cell_mL-1,3000,
Ozersky,Apostles,0.5,phytoplankton_abundance,Ozersky_Apostles_0.5_phytoplankton_abundance,Microflagellates_cell_mL-1,648000,
