pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_l-1,notes
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Aphanocapsa_holsatica__Lemm_Cronb_&_Kom_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Aphanocapsa_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Cyanodictyon_filiforme_JKomárková-Legnerová_&_GCronberg_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Cyanophyta_sp_cell_L-1,93094560,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Gloeocapsa_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Microcystis_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Planktothrix_agardhii_Gomont_Anag_and_Komar_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Pseudanabaena_contorta_Kling_&_Watson_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Pseudanabaena_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Synechococcus_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Woronichinia_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Actinastrum_hantzschii_Lagerheim_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Botryococcus_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Campylomonas_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Chlorogonium_minimum_Playfair_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Chlorophyceae_spp_cell_L-1,57288960,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Closterium_aciculare_T_West_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Closterium_strigosum_Brebisson_cell_L-1,1000,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Collodictyon_triciliatum_H_Carter_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Desmodesmus_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Gloeotila_pelagica_Nyegaard_Skuja_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Koliella_longiseta_Vischer_Hindák_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Koliella_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Lagerheimia_genevensis_Chodat_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Monoraphidium_arcuatum_Korshikov_Hindák_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Monoraphidium_contortum_Thurs_Kom_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Monoraphidium_minutum_Nägeli_Komárková-legnerová_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Mougeotia_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Nephrochlamys_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Oocystis_solitaria_Wittrock_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Oocystis_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Planktosphaeria_gelatinosa_GMSmith_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Scenedesmus_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Spermatozopsis_exsultans_Korshikov_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Stichococcus_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Tetraedron_triangulare_Korshikov_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Tetrastrum_heteracanthum_Nordst_Chod_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Euglena_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Aulomonas_purdyi_Lackey_cell_L-1,0,
