pi_name,station,analysis,sample_name,ice_thick_m,snow_thick_m,notes
Ozersky,Apostles,Snow_&_ice_thickness,Ozersky_Apostles_Snow_&_ice_thickness,0.4,0.1,
McGregor_Twiss,BI_Birch_Island,Snow_&_ice_thickness,McGregor_Twiss_BI_Birch_Island_Snow_&_ice_thickness,0.46,0.1,
Maggie_Xenopoulos_&_Nolan_Pearce,BQ1,Snow_&_ice_thickness,Maggie_Xenopoulos_&_Nolan_Pearce_BQ1_Snow_&_ice_thickness,0.33,0,
Currie,Bronte_Pier,Snow_&_ice_thickness,Currie_Bronte_Pier_Snow_&_ice_thickness,0,0,
Warren_Currie,CCIW_Hamilton_Harbour,Snow_&_ice_thickness,Warren_Currie_CCIW_Hamilton_Harbour_Snow_&_ice_thickness,0,0,
Uzarski,Eagle_Bay_Saginaw_Bay,Snow_&_ice_thickness,Uzarski_Eagle_Bay_Saginaw_Bay_Snow_&_ice_thickness,0.38,0,
McKay,EC_1,Snow_&_ice_thickness,McKay_EC_1_Snow_&_ice_thickness,0.05,0,
McKay,GR001,Snow_&_ice_thickness,McKay_GR001_Snow_&_ice_thickness,0.14,no data,
McKay,EC_1156,Snow_&_ice_thickness,McKay_EC_1156_Snow_&_ice_thickness,0,0,
McKay,EC_12,Snow_&_ice_thickness,McKay_EC_12_Snow_&_ice_thickness,0,0,
McKay,EC_1326,Snow_&_ice_thickness,McKay_EC_1326_Snow_&_ice_thickness,0,0,
McKay,EC_3,Snow_&_ice_thickness,McKay_EC_3_Snow_&_ice_thickness,0,0,
McKay,EC_341,Snow_&_ice_thickness,McKay_EC_341_Snow_&_ice_thickness,0.01,0,
McKay,EC_84,Snow_&_ice_thickness,McKay_EC_84_Snow_&_ice_thickness,0.01,0,
McKay,EC_9,Snow_&_ice_thickness,McKay_EC_9_Snow_&_ice_thickness,0,0,
McKay,EC_970,Snow_&_ice_thickness,McKay_EC_970_Snow_&_ice_thickness,0.14,0,
McKay,ER_78M,Snow_&_ice_thickness,McKay_ER_78M_Snow_&_ice_thickness,0,0,
McKay,ER_91M,Snow_&_ice_thickness,McKay_ER_91M_Snow_&_ice_thickness,0.09,0,
Maggie_Xenopoulos_&_Nolan_Pearce,GB1,Snow_&_ice_thickness,Maggie_Xenopoulos_&_Nolan_Pearce_GB1_Snow_&_ice_thickness,0.45,0.013,
