gene_id,MFF-CY-1,MFF-CY-2,MFF-CY-3,MFF-DY-1,MFF-DY-2,MFF-DY-3,subcellular_locations,source_organism
LOC122876345|LOC122876345,14303,17472,14069,25241,19480,21462,,not_found
galr1b|galr1b,10,11,3,7,11,12,,not_found
tppp3|tppp3,14,48,30,34,43,48,"Cytoplasm, Cytoplasm, cytoskeleton",9606
LOC122878167|LOC122878167,0,4,0,4,0,4,,not_found
lncRNA-LOC122876525|LOC122876525,0,0,0,0,0,0,,not_found
LOC122876512|LOC122876512,15,5,4,7,8,2,,not_found
zdhhc1|zdhhc1,758,888,922,1045,677,835,"Endoplasmic reticulum membrane, Endosome membrane, Golgi apparatus",7955
vps13c|vps13c,8953,11142,8933,13111,9597,10801,"Endoplasmic reticulum membrane, Endosome membrane, Golgi apparatus",9606
lncRNA-LOC122876917|LOC122876917,0,0,0,0,0,0,,not_found
lncRNA-LOC122876967|LOC122876967,5,5,3,2,3,5,,not_found
hsd11b2|hsd11b2,3654,4501,3501,3997,2868,3024,Membrane,7955
gpatch1|gpatch1,2888,3101,2792,3398,2532,2897,,not_found
LOC122876379|LOC122876379,1585,2043,1707,2396,2073,2243,,not_found
plekhg4|plekhg4,87,111,73,99,82,67,,not_found
lncRNA-LOC122876476|LOC122876476,0,0,0,0,0,0,,not_found
cebpg|cebpg,6708,8270,6941,9982,8466,9174,Nucleus,9606
lncRNA-LOC122880463|LOC122880463,0,0,0,0,0,0,,not_found
lncRNA-LOC122880457|LOC122880457,0,10,0,0,16,18,,not_found
LOC122879613|LOC122879613,214,344,162,323,198,289,,not_found
LOC122876321|LOC122876321,3644,4056,3615,4042,3245,3868,,not_found
slc9a5|slc9a5,21,28,31,98,58,25,"Cell junction, focal adhesion, Cell membrane, Cell projection, dendritic spine membrane, Recycling endosome membrane, Synaptic cell membrane",9606
lncRNA-LOC122881751|LOC122881751,26,12,29,36,45,16,,not_found
fhod1|fhod1,244,310,265,467,352,423,"Cell projection, bleb, Cytoplasm, Cytoplasm, cytoskeleton",9606
lncRNA-LOC122881790|LOC122881790,31,61,51,58,33,62,,not_found
cebpa|cebpa,45,26,26,62,34,28,"Nucleus, Nucleus, nucleolus",9606
kifc3|kifc3,2306,2664,2301,3392,2628,3072,"Cell junction, adherens junction, Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, Cytoplasmic vesicle membrane",9606
katnb1|katnb1,1601,2006,1735,2524,1927,2236,"Cytoplasm, Cytoplasm, cytoskeleton, Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, Cytoplasm, cytoskeleton, spindle, Cytoplasm, cytoskeleton, spindle pole",7955
lncRNA-LOC122879719|LOC122879719,9,0,9,16,18,8,,not_found
LOC122881082|LOC122881082,218,368,270,311,243,274,,not_found
wdr59|wdr59,3595,4726,4034,7302,5658,5720,Lysosome membrane,9606
lncRNA-LOC122881100|LOC122881100,0,9,20,15,19,2,,not_found
lncRNA-LOC122881095|LOC122881095,486,711,664,828,497,663,,not_found
nob1|nob1,3436,3908,3698,4966,4060,4393,Nucleus,9606
cog8|cog8,1968,2197,1850,2348,1769,2202,Golgi apparatus membrane,9606
LOC122879614|LOC122879614,1765,2293,1737,2429,1603,1967,,not_found
cngb1a|cngb1a,97,176,102,78,93,72,,not_found
LOC122879695|LOC122879695,6396,7477,5922,12671,9734,11599,,not_found
si:ch73-204p21.2|si:ch73-204p21.2,18,25,14,5,0,0,,not_found
LOC122878458|LOC122878458,15,17,14,32,24,29,,not_found
LOC122877522|LOC122877522,0,0,0,0,0,0,,not_found
lncRNA-LOC122877132|LOC122877132,3,4,0,0,0,0,,not_found
gtf2a2|gtf2a2,667,789,660,848,622,609,Nucleus,9606
znf395a|znf395a,7024,8213,7212,9047,7148,7578,,not_found
lncRNA-LOC122875809|LOC122875809,19,6,29,42,16,16,,not_found
lncRNA-LOC122876244|LOC122876244,49,50,23,24,10,8,,not_found
gpn1|gpn1,1259,1422,1317,1395,1162,1181,"Cytoplasm, Nucleus",9606
LOC122877103|LOC122877103,455,552,428,1119,1074,1075,,not_found
trnav-uac|trnav-uac,0,0,0,0,0,0,,not_found
trnav-uac_1|trnav-uac,0,0,0,0,0,0,,not_found
trnav-uac_2|trnav-uac,0,0,0,0,0,0,,not_found
trnav-uac_3|trnav-uac,0,0,0,0,0,0,,not_found
trnav-uac_4|trnav-uac,0,0,0,0,0,0,,not_found
lncRNA-LOC122877123|LOC122877123,0,0,0,0,0,0,,not_found
LOC122873289|LOC122873289,1775,1950,1719,2623,1964,2025,,not_found
lncRNA-LOC122873310|LOC122873310,20,27,19,71,49,57,,not_found
LOC122881852|LOC122881852,4,11,14,11,6,0,,not_found
LOC122881907|LOC122881907,565,679,488,1039,764,839,,not_found
si:ch211-71n6.4|si:ch211-71n6.4,9511,11432,9668,16066,11984,13424,,not_found
LOC122875832|LOC122875832,4,19,32,4,4,7,,not_found
si:ch211-220f16.2|si:ch211-220f16.2,6252,8150,6597,9076,6657,7520,,not_found
LOC122875238|LOC122875238,12308,14205,12313,17031,13030,14704,,not_found
LOC122881795|LOC122881795,6,0,18,15,6,9,,not_found
ppfia1|ppfia1,12310,14629,12047,16752,12458,13898,"Cytoplasm, Cytoplasm, cell cortex",9606
LOC122879039|LOC122879039,50,45,46,22,11,17,,not_found
crybgx|crybgx,9,0,16,13,12,7,,not_found
lctla|lctla,3,7,0,7,3,3,,not_found
tipin|tipin,247,206,238,210,123,151,"Cytoplasm, Nucleus",7955
dis3l|dis3l,1439,1788,1382,2108,1558,1744,Cytoplasm,7955
LOC122878957|LOC122878957,17,6,6,0,0,0,,not_found
arfgap2|arfgap2,6431,7688,6343,7186,5460,6404,"Cytoplasm, Golgi apparatus membrane",9606
pex16|pex16,1402,1659,1450,2024,1488,1606,Peroxisome membrane,7955
cars1|cars1,3084,3685,2762,4758,3907,4229,Cytoplasm,9606
sh2d7|sh2d7,0,0,0,0,0,0,,not_found
LOC122875218|LOC122875218,5146,6286,4934,7244,5213,6392,,not_found
LOC122881991|LOC122881991,36,58,18,29,12,40,,not_found
LOC122877822|LOC122877822,146,111,100,104,80,106,,not_found
LOC122876603|LOC122876603,291,275,216,154,156,234,,not_found
kmt5b|kmt5b,2432,3311,2658,3213,2444,3291,"Chromosome, Nucleus",7955
herc1|herc1,27528,36265,29527,38510,27950,29938,"Cytoplasm, cytosol, Golgi apparatus, Membrane",9606
LOC122876025|LOC122876025,985,1221,969,1493,1319,1426,,not_found
LOC122873360|LOC122873360,14,15,30,19,18,6,,not_found
LOC122879730|LOC122879730,94,103,96,87,95,65,,not_found
LOC122873347|LOC122873347,4606,5501,4585,6202,4647,5176,,not_found
lncRNA-LOC122873369|LOC122873369,83,135,103,78,63,125,,not_found
LOC122874395|LOC122874395,1126,1253,1031,1622,1227,1259,,not_found
csnk2a2a|csnk2a2a,2993,3514,2859,3905,2925,3126,,not_found
jph3a|jph3a,7,14,8,4,0,0,,not_found
LOC122876975|LOC122876975,2192,2674,2219,2876,2518,2596,,not_found
pole3|pole3,658,791,662,909,724,823,Nucleus,9606
RP-rpl12|rpl12,54462,61898,53715,58863,45486,54316,,not_found
snoRNA-LOC122882352|LOC122882352,1,0,4,4,2,4,,not_found
snoRNA-LOC122882365|LOC122882365,15,9,10,2,4,15,,not_found
sirt3|sirt3,467,533,489,543,540,500,Mitochondrion matrix,9606
psmd13|psmd13,4167,4706,4070,4603,3732,4205,,not_found
lncRNA-LOC122880365|LOC122880365,0,0,0,0,0,0,,not_found
LOC122880245|LOC122880245,14,25,14,4,8,0,,not_found
znf408|znf408,752,897,690,955,714,765,Nucleus,9606
map1aa|map1aa,8,0,7,41,16,13,,not_found
ppip5k1a|ppip5k1a,3360,4202,3287,4826,3980,4362,,not_found
cdhr5a|cdhr5a,0,0,13,10,17,5,,not_found
