row,col,intensity,local_mean_5x5,sobel,laplacian,dog,annotated
0,0,195.0,202.40001,20.0,21.0,-4.820877,no
0,1,205.0,203.36,27.856777,-31.0,-3.3282623,no
0,2,201.0,204.32,28.284271,13.0,-1.9737549,no
0,3,197.0,204.36,78.29432,17.0,-2.685669,no
0,4,191.0,204.12,61.983868,32.0,-4.409378,no
0,5,197.0,202.12,32.984844,-12.0,-5.199112,no
0,6,191.0,201.16,24.207438,31.0,-4.507019,no
0,7,204.0,198.6,15.556349,-39.0,-3.5617828,no
0,8,187.0,199.12,52.153618,37.0,-4.2473907,no
0,9,190.0,198.84,58.24088,-3.0,-4.3439026,no
0,10,187.0,199.48,102.77159,27.0,-2.936554,no
0,11,178.0,198.2,118.06778,54.0,-0.7772522,no
0,12,191.0,196.28,84.95882,23.0,4.0361176,no
0,13,206.0,190.64,22.847319,-42.0,8.738724,no
0,14,196.0,181.0,85.44004,-7.0,9.576218,no
0,15,187.0,166.76,156.54393,-27.0,4.317383,no
0,16,164.0,152.72,273.24713,-55.0,-10.164764,no
0,17,111.0,148.0,308.01624,28.0,-29.435486,yes
0,18,65.0,146.92,244.96939,184.0,-37.708252,yes
0,19,125.0,157.0,353.59863,-1.0,-28.601791,yes
0,20,132.0,172.08,305.4996,126.0,-14.178101,yes
0,21,201.0,190.24,235.5122,-67.0,-1.4520264,no
0,22,206.0,201.4,45.099888,-4.0,3.6761017,no
0,23,210.0,209.8,28.071337,-8.0,2.4524536,no
0,24,200.0,212.36,29.017237,44.0,0.28904724,no
0,25,215.0,210.44,16.970562,-43.0,-0.47010803,no
0,26,202.0,207.64,115.37764,13.0,-2.6522675,no
0,27,179.0,204.88,115.41231,68.0,-5.729721,no
0,28,191.0,199.2,87.69264,-7.0,-4.827942,no
0,29,183.0,194.48,72.138756,39.0,-2.294693,no
0,30,186.0,185.16,24.41311,-9.0,0.09439087,yes
0,31,197.0,172.44,132.40091,-61.0,-1.2663422,yes
0,32,155.0,159.84,216.83173,17.0,-11.273788,no
0,33,146.0,161.4,72.99315,4.0,-18.126907,no
0,34,155.0,161.12,218.56349,0.0,-11.161011,no
0,35,192.0,173.16,207.39334,-11.0,3.5710297,no
0,36,205.0,186.04,75.39231,-28.0,11.864883,no
0,37,212.0,199.6,13.038404,-16.0,12.43042,no
0,38,200.0,199.56,37.94733,21.0,8.673508,no
0,39,204.0,200.56,43.56604,-16.0,3.7470856,no
