row,col,intensity,local_mean_5x5,sobel,laplacian,dog,annotated
0,0,130.0,136.44,350.7506,-8.0,-19.000076,no
0,1,188.0,150.8,443.308,-81.0,1.1174469,no
0,2,218.0,178.88,221.14249,-39.0,17.375656,no
0,3,226.0,206.88,54.129475,-11.0,18.386719,no
0,4,226.0,221.6,7.071068,1.0,11.725739,no
0,5,227.0,224.92,5.8309517,-3.0,6.0208893,no
0,6,227.0,224.56,8.602325,-2.0,3.0892792,no
0,7,226.0,223.8,17.888544,-5.0,1.4785156,no
0,8,223.0,223.12,13.928389,1.0,0.5999756,no
0,9,222.0,221.88,3.1622777,1.0,0.75535583,no
0,10,222.0,220.08,9.055386,-2.0,1.5887756,no
0,11,220.0,217.36,37.01351,-7.0,2.1605835,no
0,12,212.0,212.6,69.12308,-1.0,2.1578674,no
0,13,200.0,201.64,111.8034,6.0,1.0185242,no
0,14,182.0,184.36,235.5674,-1.0,-4.7907257,no
0,15,140.0,165.84,307.00162,49.0,-16.887589,no
0,16,111.0,150.52,166.97305,54.0,-27.099655,yes
0,17,112.0,143.2,79.64923,33.0,-25.842278,yes
0,18,136.0,148.04,241.6278,15.0,-12.175201,no
0,19,181.0,161.64,291.2044,-42.0,7.020111,no
0,20,210.0,177.24,184.93782,-41.0,21.064209,no
0,21,220.0,191.96,95.77056,-30.0,24.61354,no
0,22,221.0,201.6,77.27872,-20.0,21.587708,no
0,23,222.0,205.2,58.0,-20.0,17.291138,no
0,24,218.0,206.8,43.011627,-9.0,12.664627,no
0,25,213.0,208.92,33.105892,-4.0,7.914551,no
0,26,208.0,209.0,15.231546,6.0,4.478256,no
0,27,207.0,206.48,39.623226,-2.0,2.1137238,no
0,28,198.0,202.16,81.84131,12.0,-1.399643,no
0,29,188.0,199.28,70.93659,24.0,-5.654007,no
0,30,187.0,199.96,36.687874,20.0,-6.375,no
0,31,203.0,203.44,124.33825,-9.0,-0.20237732,no
0,32,220.0,206.92,94.59387,-21.0,9.225723,no
0,33,223.0,206.8,34.20526,-17.0,13.821625,no
0,34,207.0,197.44,174.1953,-1.0,8.691971,no
0,35,178.0,185.04,219.3855,24.0,-3.4047394,no
0,36,161.0,176.12,88.0568,21.0,-10.6740265,no
0,37,188.0,171.32,240.48285,-57.0,-3.9406738,no
0,38,209.0,170.84,198.09088,-60.0,8.068436,no
0,39,211.0,177.44,132.0606,-34.0,12.550354,no
0,40,208.0,185.56,134.08206,-29.0,9.306732,no
0,41,209.0,191.52,136.89412,-35.0,5.77182,no
0,42,213.0,197.36,119.54079,-23.0,6.109726,no
0,43,219.0,205.24,85.8021,-11.0,8.581375,no
0,44,225.0,213.76001,43.382023,-9.0,9.870377,no
0,45,226.0,219.6,4.0,-3.0,8.590668,no
0,46,224.0,222.12,19.026299,-1.0,5.7825623,no
0,47,221.0,221.68001,19.697716,1.0,3.2884674,no
0,48,218.0,219.68001,32.649654,4.0,1.6316986,no
0,49,213.0,216.56,56.727417,5.0,-0.058258057,no
0,50,205.0,212.56,86.313385,12.0,-2.4828033,no
0,51,194.0,206.4,113.35784,21.0,-5.9525757,no
0,52,183.0,200.04,137.90576,26.0,-10.569595,no
0,53,170.0,195.92,127.059044,42.0,-15.103439,no
0,54,169.0,195.48,104.048065,34.0,-15.879242,no
0,55,178.0,196.92,129.07362,32.0,-11.149002,no
0,56,196.0,200.08,103.4698,3.0,-4.387375,no
0,57,203.0,203.36,38.078865,0.0,-0.4542389,no
0,58,202.0,204.24,29.732138,3.0,0.36212158,no
0,59,199.0,200.12,30.528675,4.0,0.467453,no
0,60,196.0,192.16,60.299255,-4.0,-0.30273438,yes
0,61,186.0,183.36,112.29426,-8.0,-3.9477844,yes
0,62,172.0,176.72,97.98979,-4.0,-8.723633,yes
0,63,166.0,172.2,42.190044,-2.0,-9.783279,yes
0,64,171.0,171.28,55.027267,-5.0,-6.061737,no
0,65,175.0,173.31999,49.010204,7.0,-1.0316772,no
0,66,183.0,176.56,48.8467,-3.0,2.9316406,no
0,67,191.0,179.92,65.51336,-19.0,5.7406464,no
0,68,196.0,182.0,88.83693,-19.0,8.71109,no
0,69,203.0,181.56,81.154175,-25.0,11.66069,no
1,0,64.0,136.88,442.5969,112.0,-42.641983,no
1,1,135.0,150.92,580.486,28.0,-16.675354,no
1,2,201.0,179.04001,342.34778,-31.0,8.205841,no
1,3,223.0,207.08,91.08238,-17.0,15.348633,no
1,4,226.0,221.28,11.661903,-5.0,10.900803,no
1,5,225.0,224.4,13.038404,2.0,5.397644,no
1,6,226.0,224.12,19.697716,-6.0,2.2674866,no
1,7,223.0,223.6,22.803509,2.0,0.6665497,no
1,8,222.0,223.2,10.770329,1.0,0.14152527,no
1,9,222.0,222.36,2.0,0.0,0.56889343,no
1,10,222.0,220.92,10.0,-3.0,1.354126,no
1,11,219.0,218.52,27.89265,1.0,2.0867615,no
1,12,215.0,214.40001,48.104053,2.0,3.288086,no
1,13,212.0,205.0,95.41489,-9.0,4.8272095,no
1,14,205.0,190.08,212.17445,-33.0,3.134674,no
1,15,176.0,172.64,339.98822,-20.0,-5.278351,no
1,16,135.0,156.52,295.97974,43.0,-15.949951,no
1,17,122.0,146.84,119.104996,31.0,-20.093689,yes
1,18,130.0,147.96,132.67253,21.0,-13.830856,yes
1,19,155.0,156.72,267.09174,15.0,-0.20329285,yes
1,20,188.0,167.72,251.60684,-27.0,11.854477,no
1,21,199.0,179.72,220.3361,-19.0,14.815002,no
1,22,201.0,189.28,234.85315,-21.0,11.55217,no
1,23,207.0,194.4,200.8482,-25.0,9.195984,no
1,24,210.0,198.28,115.44696,-13.0,8.458847,no
1,25,209.0,203.64,43.56604,0.0,7.2292175,no
1,26,210.0,206.8,12.0,0.0,5.970291,no
1,27,213.0,206.04001,28.635643,-11.0,4.907654,no
1,28,211.0,202.04001,69.31089,-18.0,2.2258453,no
1,29,203.0,198.52,91.3017,-19.0,-2.7848206,no
1,30,190.0,198.6,28.460499,8.0,-6.5292053,no
1,31,193.0,201.64,114.90866,16.0,-3.1291046,no
1,32,213.0,204.8,134.73679,-10.0,6.638962,no
1,33,225.0,205.28,17.088007,-24.0,14.154022,no
1,34,219.0,198.16,144.22205,-33.0,11.690063,no
1,35,190.0,187.31999,289.6377,-25.0,-1.9368134,no
1,36,138.0,179.31999,208.40346,78.0,-16.732712,no
1,37,137.0,175.24,266.03006,56.0,-17.92015,no
1,38,168.0,175.24,310.6445,-4.0,-7.6040497,yes
1,39,182.0,181.08,209.30838,-7.0,-0.99320984,yes
1,40,175.0,188.04,213.02582,19.0,-3.4782562,yes
1,41,171.0,192.4,232.49947,33.0,-7.0852814,yes
1,42,188.0,196.52,235.77107,1.0,-4.79541,no
1,43,208.0,202.64,179.65523,-15.0,1.3352203,no
1,44,221.0,209.92,103.27633,-18.0,6.0920563,no
1,45,226.0,215.72,42.941822,-16.0,7.340683,no
1,46,224.0,219.04001,13.038404,-2.0,6.107544,no
1,47,222.0,219.68001,8.485281,4.0,4.460663,no
1,48,224.0,218.56,21.400934,-13.0,3.393753,no
1,49,221.0,216.16,40.496914,-7.0,2.666809,no
1,50,220.0,212.8,73.00685,-18.0,2.010971,no
